"i","week","bet_type","ev","stake","win","pnl","bankroll","drawdown"
1,2,"spread",0.433648393392563,5,1,4.545,104.54,0
2,2,"spread",0.46067148399353,5.227,1,4.752,109.3,0
3,2,"totals",0.256923033714294,5.465,0,-5.465,103.83,5
4,2,"totals",0.395840962767601,5.192,0,-5.192,98.64,9.8
5,2,"spread",0.161790471851826,4.389,1,3.99,102.63,6.1
6,2,"spread",0.254346138775349,5.131,1,4.665,107.29,1.8
7,2,"totals",0.352556023180485,5.365,0,-5.365,101.93,6.7
8,2,"totals",0.151705342292786,4.253,1,3.866,105.8,3.2
9,2,"spread",0.404974961280823,5.29,0,-5.29,100.51,8
10,2,"totals",0.161703539907932,4.47,0,-4.47,96.04,12.1
11,2,"spread",0.570853512823582,4.802,0,-4.802,91.23,16.5
12,2,"totals",0.294463979244232,4.562,1,4.147,95.38,12.7
13,2,"totals",0.318614560782909,4.769,1,4.335,99.72,8.8
14,2,"totals",0.230832640945911,4.986,0,-4.986,94.73,13.3
15,2,"spread",0.218560330986977,4.737,1,4.305,99.04,9.4
16,2,"totals",0.22570945930481,4.952,1,4.501,103.54,5.3
17,2,"totals",0.519108411073685,5.177,1,4.706,108.24,1
18,2,"spread",0.305402839660645,5.412,1,4.92,113.16,0
19,2,"spread",0.231801181137562,5.658,0,-5.658,107.5,5
20,2,"spread",0.341347491681576,5.375,1,4.886,112.39,0.7
21,2,"totals",0.266214738607407,5.619,0,-5.619,106.77,5.6
22,2,"totals",0.251025998473167,5.339,1,4.853,111.62,1.4
23,2,"spread",0.181281205356121,5.565,0,-5.565,106.06,6.3
24,2,"spread",0.310402678072453,5.303,1,4.82,110.88,2
25,2,"spread",0.204708453953266,5.544,0,-5.544,105.33,6.9
26,2,"spread",0.205708398878574,5.267,1,4.787,110.12,2.7
27,2,"spread",0.255174950659275,5.506,0,-5.506,104.62,7.6
28,2,"totals",0.186221761643887,5.231,0,-5.231,99.38,12.2
29,2,"spread",0.579205465197563,4.969,0,-4.969,94.42,16.6
30,2,"totals",0.366740494549274,4.721,1,4.291,98.71,12.8
31,2,"spread",0.392370170772076,4.935,1,4.486,103.19,8.8
32,2,"spread",0.731940452992916,5.16,1,4.69,107.88,4.7
33,2,"totals",0.235111877262592,5.394,1,4.903,112.79,0.3
34,2,"totals",0.288066402614117,5.639,0,-5.639,107.15,5.3
35,2,"totals",0.145894783854485,4.299,1,3.908,111.06,1.9
36,2,"totals",0.207523160099983,5.553,1,5.047,116.1,0
37,2,"totals",0.141853131175041,4.53,1,4.117,120.22,0
38,2,"spread",0.284758892476559,6.011,1,5.464,125.68,0
39,2,"totals",0.567243675231934,6.284,1,5.712,131.4,0
40,2,"spread",0.401307662129402,6.57,0,-6.57,124.83,5
41,2,"spread",0.473054279446602,6.241,0,-6.241,118.59,9.7
42,2,"totals",0.217186260104179,5.929,0,-5.929,112.66,14.3
43,2,"spread",0.182176126480103,5.633,0,-5.633,107.02,18.5
44,2,"spread",0.242559009194374,5.351,0,-5.351,101.67,22.6
45,2,"spread",0.320342617630959,5.084,0,-5.084,96.59,26.5
46,3,"spread",0.369949580430984,4.829,1,4.39,100.98,23.1
47,3,"totals",0.306398574531078,5.049,1,4.589,105.57,19.7
48,3,"spread",0.582303155303001,5.278,1,4.798,110.37,16
49,3,"totals",0.41727378320694,5.518,1,5.016,115.38,12.2
50,3,"spread",0.718051823318005,5.769,0,-5.769,109.61,16.6
51,3,"spread",0.232494816124439,5.481,0,-5.481,104.13,20.7
52,3,"totals",0.329120240688324,5.207,1,4.733,108.87,17.1
53,3,"totals",0.263629309773445,5.443,1,4.948,113.81,13.4
54,3,"totals",0.501914888322353,5.691,1,5.173,118.99,9.4
55,3,"totals",0.317986807465553,5.949,1,5.408,124.39,5.3
56,3,"spread",0.244845751702786,6.22,1,5.654,130.05,1
57,3,"totals",0.201574238777161,6.502,1,5.911,135.96,0
58,3,"spread",0.38184776443243,6.798,0,-6.798,129.16,5
59,3,"spread",0.521024668753147,6.458,1,5.87,135.03,0.7
60,3,"spread",0.233697526395321,6.752,1,6.137,141.17,0
61,3,"spread",0.682413822591305,7.058,1,6.416,147.58,0
62,3,"totals",0.177804268956184,7.217,1,6.56,154.14,0
63,3,"totals",0.395879535973072,7.707,1,7.006,161.15,0
64,3,"spread",0.453665497541428,8.057,1,7.324,168.47,0
65,3,"totals",0.211710913062096,8.424,1,7.657,176.13,0
66,3,"spread",0.262152377009392,8.807,0,-8.807,167.32,5
67,3,"totals",0.248757575392723,8.366,0,-8.366,158.96,9.7
68,3,"spread",0.672183389246464,7.948,1,7.225,166.18,5.6
69,3,"totals",0.152899860024452,6.988,1,6.352,172.54,2
70,3,"spread",0.249386238992214,8.627,0,-8.627,163.91,6.9
71,3,"totals",0.3894694429636,8.195,1,7.45,171.36,2.7
72,3,"spread",0.453245402336121,8.568,1,7.788,179.15,0
73,3,"spread",0.174704758286476,8.608,1,7.824,186.97,0
74,3,"totals",0.310506791591644,9.349,1,8.498,195.47,0
75,3,"totals",0.174285573363304,9.369,1,8.517,203.99,0
76,3,"totals",0.140896879792213,7.905,0,-7.905,196.08,3.9
77,3,"spread",0.464597644627094,9.804,0,-9.804,186.28,8.7
78,3,"totals",0.327803631365299,9.314,1,8.466,194.74,4.5
79,3,"spread",0.52702274531126,9.737,1,8.851,203.59,0.2
80,3,"spread",0.474157768964767,10.18,0,-10.18,193.41,5.2
