"game_id","season","week","home_team","away_team","book","home_spread_open","total_open","book_last_update","captured_at"
"401858213",2026,2,"Miami","Florida A&M","FanDuel",-53.5,60.5,"2026-09-08T04:16:01Z","2026-09-08T04:16:22Z"
"401858213",2026,2,"Miami","Florida A&M","DraftKings",-55.5,61.5,"2026-09-08T04:16:01Z","2026-09-08T04:16:22Z"
"401858213",2026,2,"Miami","Florida A&M","Caesars",NA,61.5,"2026-09-08T04:14:02Z","2026-09-08T04:16:22Z"
"401858215",2026,2,"Louisville","Villanova","FanDuel",-36.5,56.5,"2026-09-08T04:16:01Z","2026-09-08T04:16:22Z"
"401858215",2026,2,"Louisville","Villanova","DraftKings",-36.5,56.5,"2026-09-08T04:16:01Z","2026-09-08T04:16:22Z"
"401858215",2026,2,"Louisville","Villanova","Caesars",-36.5,56.5,"2026-09-08T04:14:02Z","2026-09-08T04:16:22Z"
"401858222",2026,2,"NC State","Richmond","FanDuel",-30.5,48.5,"2026-09-08T04:16:01Z","2026-09-08T04:16:22Z"
"401858222",2026,2,"NC State","Richmond","DraftKings",-30.5,48.5,"2026-09-08T04:16:01Z","2026-09-08T04:16:22Z"
"401858222",2026,2,"NC State","Richmond","Caesars",-30.5,48.5,"2026-09-08T04:14:02Z","2026-09-08T04:16:22Z"
"401858220",2026,2,"Virginia","Norfolk State","FanDuel",-43.5,54.5,"2026-09-08T04:16:01Z","2026-09-08T04:16:22Z"
"401858220",2026,2,"Virginia","Norfolk State","DraftKings",-44.5,54.5,"2026-09-08T04:16:01Z","2026-09-08T04:16:22Z"
"401858220",2026,2,"Virginia","Norfolk State","Caesars",NA,54.5,"2026-09-08T04:14:02Z","2026-09-08T04:16:22Z"
"401858214",2026,2,"Boston College","Rutgers","FanDuel",-3.5,53.5,"2026-09-08T04:16:01Z","2026-09-08T04:16:22Z"
"401858214",2026,2,"Boston College","Rutgers","DraftKings",-3,54.5,"2026-09-08T04:16:01Z","2026-09-08T04:16:22Z"
"401858214",2026,2,"Boston College","Rutgers","Caesars",-3,53.5,"2026-09-08T04:14:02Z","2026-09-08T04:16:22Z"
"401856678",2026,2,"Kansas","Missouri","FanDuel",5.5,49.5,"2026-09-08T04:16:01Z","2026-09-08T04:16:22Z"
"401856678",2026,2,"Kansas","Missouri","DraftKings",5.5,50.5,"2026-09-08T04:16:01Z","2026-09-08T04:16:22Z"
"401856678",2026,2,"Kansas","Missouri","Caesars",5.5,50.5,"2026-09-08T04:14:02Z","2026-09-08T04:16:22Z"
"401856683",2026,2,"Texas A&M","Arizona State","DraftKings",-14.5,51.5,"2026-09-08T04:16:01Z","2026-09-08T04:16:22Z"
"401856683",2026,2,"Texas A&M","Arizona State","FanDuel",-14.5,51.5,"2026-09-08T04:16:01Z","2026-09-08T04:16:22Z"
"401856683",2026,2,"Texas A&M","Arizona State","Caesars",-14.5,51.5,"2026-09-08T04:14:02Z","2026-09-08T04:16:22Z"
"401862702",2026,2,"Army","South Florida","FanDuel",-3.5,48.5,"2026-09-08T04:16:01Z","2026-09-08T04:16:22Z"
"401862702",2026,2,"Army","South Florida","DraftKings",-3.5,47.5,"2026-09-08T04:16:01Z","2026-09-08T04:16:22Z"
"401862702",2026,2,"Army","South Florida","Caesars",-3.5,47.5,"2026-09-08T04:14:02Z","2026-09-08T04:16:22Z"
"401858218",2026,2,"North Carolina","East Tennessee State","FanDuel",-35.5,52.5,"2026-09-08T04:16:01Z","2026-09-08T04:16:22Z"
"401858439",2026,2,"Indiana","Howard","FanDuel",-55.5,64.5,"2026-09-08T04:16:01Z","2026-09-08T04:16:22Z"
"401856781",2026,2,"Kansas State","Washington State","FanDuel",-17.5,49.5,"2026-09-08T04:16:01Z","2026-09-08T04:16:22Z"
"401856781",2026,2,"Kansas State","Washington State","DraftKings",-18.5,49.5,"2026-09-08T04:16:01Z","2026-09-08T04:16:22Z"
"401856781",2026,2,"Kansas State","Washington State","Caesars",-19,49.5,"2026-09-08T04:14:02Z","2026-09-08T04:16:22Z"
"401866416",2026,2,"Kent State","Wofford","FanDuel",-13.5,46.5,"2026-09-08T04:16:01Z","2026-09-08T04:16:22Z"
"401856679",2026,2,"Michigan","Oklahoma","FanDuel",5.5,43.5,"2026-09-08T04:16:01Z","2026-09-08T04:16:22Z"
"401856679",2026,2,"Michigan","Oklahoma","Caesars",5.5,43.5,"2026-09-08T04:14:02Z","2026-09-08T04:16:22Z"
"401856679",2026,2,"Michigan","Oklahoma","DraftKings",5.5,43.5,"2026-09-08T04:16:01Z","2026-09-08T04:16:22Z"
"401856782",2026,2,"Oklahoma State","Oregon","FanDuel",22.5,57.5,"2026-09-08T04:16:01Z","2026-09-08T04:16:22Z"
"401856782",2026,2,"Oklahoma State","Oregon","DraftKings",22.5,57.5,"2026-09-08T04:16:01Z","2026-09-08T04:16:22Z"
"401856782",2026,2,"Oklahoma State","Oregon","Caesars",22.5,57.5,"2026-09-08T04:14:02Z","2026-09-08T04:16:22Z"
"401858221",2026,2,"Virginia Tech","Old Dominion","DraftKings",-18.5,51.5,"2026-09-08T04:16:01Z","2026-09-08T04:16:22Z"
"401858221",2026,2,"Virginia Tech","Old Dominion","FanDuel",-18.5,50.5,"2026-09-08T04:16:01Z","2026-09-08T04:16:22Z"
"401858221",2026,2,"Virginia Tech","Old Dominion","Caesars",-18.5,50.5,"2026-09-08T04:14:02Z","2026-09-08T04:16:22Z"
"401858442",2026,2,"Temple","Penn State","FanDuel",23.5,49.5,"2026-09-08T04:16:01Z","2026-09-08T04:16:22Z"
"401858442",2026,2,"Temple","Penn State","DraftKings",23.5,49.5,"2026-09-08T04:16:01Z","2026-09-08T04:16:22Z"
"401858442",2026,2,"Temple","Penn State","Caesars",24,49.5,"2026-09-08T04:14:02Z","2026-09-08T04:16:22Z"
"401858224",2026,2,"Purdue","Wake Forest","FanDuel",3.5,49.5,"2026-09-08T04:16:01Z","2026-09-08T04:16:22Z"
"401858224",2026,2,"Purdue","Wake Forest","DraftKings",4,49.5,"2026-09-08T04:16:01Z","2026-09-08T04:16:22Z"
"401858224",2026,2,"Purdue","Wake Forest","Caesars",4,49.5,"2026-09-08T04:14:02Z","2026-09-08T04:16:22Z"
"401856673",2026,2,"Georgia","Western Kentucky","DraftKings",-40.5,54.5,"2026-09-08T04:16:01Z","2026-09-08T04:16:22Z"
"401856673",2026,2,"Georgia","Western Kentucky","Caesars",-40.5,54.5,"2026-09-08T04:14:02Z","2026-09-08T04:16:22Z"
"401856673",2026,2,"Georgia","Western Kentucky","FanDuel",-40.5,54.5,"2026-09-08T04:16:01Z","2026-09-08T04:16:22Z"
"401866415",2026,2,"Central Michigan","Colgate","FanDuel",-24.5,50.5,"2026-09-08T04:16:01Z","2026-09-08T04:16:22Z"
"401866417",2026,2,"Miami (OH)","Holy Cross","FanDuel",-31.5,51.5,"2026-09-08T04:16:01Z","2026-09-08T04:16:22Z"
"401856791",2026,2,"West Virginia","UT Martin","FanDuel",-39.5,56.5,"2026-09-08T04:16:01Z","2026-09-08T04:16:22Z"
"401866413",2026,2,"Ball State","Stony Brook","FanDuel",-15.5,56.5,"2026-09-08T04:16:01Z","2026-09-08T04:16:22Z"
"401866412",2026,2,"Akron","Robert Morris","FanDuel",-28.5,43.5,"2026-09-08T04:16:01Z","2026-09-08T04:16:22Z"
"401856674",2026,2,"Kentucky","Alabama","DraftKings",10.5,49.5,"2026-09-08T04:16:01Z","2026-09-08T04:16:22Z"
"401856674",2026,2,"Kentucky","Alabama","FanDuel",10.5,49.5,"2026-09-08T04:16:01Z","2026-09-08T04:16:22Z"
"401856674",2026,2,"Kentucky","Alabama","Caesars",10.5,49.5,"2026-09-08T04:14:02Z","2026-09-08T04:16:22Z"
"401856810",2026,2,"BYU","Arizona","DraftKings",-7.5,50.5,"2026-09-08T04:16:01Z","2026-09-08T04:16:22Z"
"401856810",2026,2,"BYU","Arizona","FanDuel",-7.5,50.5,"2026-09-08T04:16:01Z","2026-09-08T04:16:22Z"
"401856810",2026,2,"BYU","Arizona","Caesars",-7.5,50.5,"2026-09-08T04:14:02Z","2026-09-08T04:16:22Z"
"401858216",2026,2,"Syracuse","California","FanDuel",-3.5,56.5,"2026-09-08T04:16:01Z","2026-09-08T04:16:22Z"
"401858216",2026,2,"Syracuse","California","DraftKings",-3.5,56.5,"2026-09-08T04:16:01Z","2026-09-08T04:16:22Z"
"401858216",2026,2,"Syracuse","California","Caesars",-3.5,56.5,"2026-09-08T04:14:02Z","2026-09-08T04:16:22Z"
"401866419",2026,2,"Toledo","Central Connecticut","FanDuel",-35.5,56.5,"2026-09-08T04:16:01Z","2026-09-08T04:16:22Z"
"401856785",2026,2,"Colorado","Weber State","FanDuel",-34.5,53.5,"2026-09-08T04:16:01Z","2026-09-08T04:16:22Z"
"401858217",2026,2,"Illinois","Duke","DraftKings",-6,53.5,"2026-09-08T04:16:01Z","2026-09-08T04:16:22Z"
"401858217",2026,2,"Illinois","Duke","FanDuel",-5.5,53.5,"2026-09-08T04:16:01Z","2026-09-08T04:16:22Z"
"401858217",2026,2,"Illinois","Duke","Caesars",-6,53.5,"2026-09-08T04:14:02Z","2026-09-08T04:16:22Z"
"401858440",2026,2,"Michigan State","Eastern Michigan","FanDuel",-17.5,50.5,"2026-09-08T04:16:01Z","2026-09-08T04:16:22Z"
"401858440",2026,2,"Michigan State","Eastern Michigan","DraftKings",-17.5,50.5,"2026-09-08T04:16:01Z","2026-09-08T04:16:22Z"
"401858440",2026,2,"Michigan State","Eastern Michigan","Caesars",-17,50.5,"2026-09-08T04:14:02Z","2026-09-08T04:16:22Z"
"401867929",2026,2,"James Madison","Wagner","FanDuel",-45.5,55.5,"2026-09-08T04:16:01Z","2026-09-08T04:16:22Z"
