"season","week","matchup","pick","pick_spread","gap","tier","go_rate_pick","go_rate_opp","result"
2020,1,"Middle Tennessee @ Army","Army",-3.5,0.379,"STRONG",0.615,0.237,"WIN"
2020,1,"BYU @ Navy","Navy",1,0.207,"STRONG",0.5,0.293,"LOSS"
2020,1,"SMU @ Texas State","SMU",-24.5,0.16,"std",0.4,0.24,"LOSS"
2020,2,"Coastal Carolina @ Kansas","Coastal Carolina",6,0.318,"STRONG",0.531,0.212,"WIN"
2020,2,"UL Monroe @ Army","Army",-24.5,0.267,"STRONG",0.622,0.356,"WIN"
2020,2,"Tulane @ South Alabama","Tulane",-11.5,0.168,"std",0.549,0.381,"LOSS"
2020,2,"Arkansas State @ Kansas State","Arkansas State",14.5,0.167,"std",0.5,0.333,"WIN"
2020,2,"Western Kentucky @ Louisville","Western Kentucky",13,0.164,"std",0.458,0.294,"LOSS"
2020,2,"Clemson @ Wake Forest","Wake Forest",34.5,0.152,"std",0.245,0.094,"WIN"
2020,2,"Georgia Tech @ Florida State","Florida State",-12.5,0.119,"std",0.464,0.345,"LOSS"
2020,2,"UAB @ Miami","Miami",-15.5,0.11,"std",0.404,0.294,"WIN"
2020,3,"UCF @ Georgia Tech","UCF",-9.5,0.228,"STRONG",0.571,0.344,"WIN"
2020,3,"Wake Forest @ NC State","NC State",2,0.191,"std",0.419,0.228,"WIN"
2020,3,"Liberty @ Western Kentucky","Western Kentucky",-14.5,0.19,"std",0.451,0.261,"LOSS"
2020,3,"Troy @ Middle Tennessee","Troy",-2,0.163,"std",0.419,0.256,"WIN"
2020,4,"UCF @ East Carolina","UCF",-28,0.59,"STRONG",0.59,0,"LOSS"
2020,4,"Army @ Cincinnati","Army",12.5,0.346,"STRONG",0.638,0.293,"LOSS"
2020,4,"Mississippi State @ LSU","Mississippi State",14.5,0.259,"STRONG",0.485,0.226,"WIN"
2020,4,"Kentucky @ Auburn","Kentucky",6.5,0.222,"STRONG",0.439,0.217,"LOSS"
2020,4,"Iowa State @ TCU","Iowa State",-3.5,0.192,"std",0.392,0.2,"LOSS"
2020,4,"NC State @ Virginia Tech","NC State",6,0.191,"std",0.391,0.2,"LOSS"
2020,4,"Georgia Southern @ Louisiana","Louisiana",-11.5,0.181,"std",0.366,0.185,"LOSS"
2020,4,"Kansas State @ Oklahoma","Kansas State",27.5,0.165,"std",0.341,0.176,"WIN"
2020,4,"Vanderbilt @ Texas A&M","Vanderbilt",31.5,0.131,"std",0.312,0.182,"WIN"
2020,4,"Florida State @ Miami","Florida State",12,0.115,"std",0.5,0.385,"LOSS"
2020,4,"Louisville @ Pittsburgh","Louisville",2.5,0.114,"std",0.349,0.235,"LOSS"
2020,4,"UTEP @ UL Monroe","UTEP",9.5,0.109,"std",0.442,0.333,"WIN"
2020,4,"UAB @ South Alabama","South Alabama",7.5,0.103,"std",0.386,0.283,"LOSS"
2021,1,"Hawai'i @ UCLA","UCLA",-17.5,0.253,"STRONG",0.47,0.216,"WIN"
2021,1,"LSU @ UCLA","UCLA",2,0.246,"STRONG",0.484,0.238,"WIN"
2021,1,"Oregon State @ Purdue","Oregon State",7,0.246,"STRONG",0.614,0.368,"LOSS"
2021,1,"Tulane @ Oklahoma","Tulane",31,0.229,"STRONG",0.489,0.26,"WIN"
2021,1,"East Carolina @ App State","App State",-9,0.221,"STRONG",0.4,0.179,"WIN"
2021,1,"Army @ Georgia State","Army",2.5,0.219,"STRONG",0.597,0.378,"WIN"
2021,1,"North Carolina @ Virginia Tech","North Carolina",-5.5,0.216,"STRONG",0.413,0.198,"LOSS"
2021,1,"Louisiana Tech @ Mississippi State","Mississippi State",-20.5,0.196,"std",0.46,0.265,"LOSS"
2021,1,"Bowling Green @ Tennessee","Tennessee",-37,0.183,"std",0.565,0.382,"LOSS"
2021,1,"Notre Dame @ Florida State","Florida State",7.5,0.161,"std",0.474,0.312,"WIN"
2021,1,"New Mexico State @ San Diego State","San Diego State",-31,0.151,"std",0.519,0.367,"LOSS"
2021,1,"Massachusetts @ Pittsburgh","Massachusetts",37.5,0.119,"std",0.378,0.259,"LOSS"
2021,1,"Nevada @ California","Nevada",3,0.107,"std",0.342,0.235,"WIN"
2021,1,"Western Michigan @ Michigan","Western Michigan",16.5,0.106,"std",0.433,0.327,"LOSS"
2021,1,"Penn State @ Wisconsin","Penn State",5.5,0.104,"std",0.446,0.342,"WIN"
2021,1,"Alabama @ Miami","Miami",19.5,0.103,"std",0.437,0.333,"LOSS"
2021,1,"South Florida @ NC State","South Florida",19,0.102,"std",0.444,0.343,"LOSS"
2021,2,"Hawai'i @ Oregon State","Oregon State",-11,0.385,"STRONG",0.629,0.244,"WIN"
2021,2,"Pittsburgh @ Tennessee","Tennessee",3.5,0.291,"STRONG",0.571,0.281,"LOSS"
2021,2,"UNLV @ Arizona State","UNLV",34.5,0.251,"STRONG",0.444,0.193,"WIN"
2021,2,"Western Kentucky @ Army","Army",-6,0.231,"STRONG",0.605,0.374,"LOSS"
2021,2,"Wyoming @ Northern Illinois","Northern Illinois",7,0.194,"std",0.384,0.19,"LOSS"
2021,2,"Miami (OH) @ Minnesota","Minnesota",-19,0.172,"std",0.383,0.211,"LOSS"
2021,2,"Toledo @ Notre Dame","Toledo",16.5,0.163,"std",0.465,0.301,"WIN"
2021,2,"Texas A&M @ Colorado","Texas A&M",-17,0.134,"std",0.259,0.125,"LOSS"
2021,2,"Tulsa @ Oklahoma State","Tulsa",12,0.129,"std",0.377,0.247,"WIN"
2021,2,"UAB @ Georgia","UAB",22.5,0.118,"std",0.303,0.184,"LOSS"
2021,2,"NC State @ Mississippi State","Mississippi State",1.5,0.117,"std",0.446,0.329,"WIN"
2021,2,"Houston @ Rice","Houston",-7.5,0.114,"std",0.386,0.271,"WIN"
2021,3,"Georgia Tech @ Clemson","Georgia Tech",27.5,0.259,"STRONG",0.415,0.156,"WIN"
2021,3,"UCF @ Louisville","Louisville",7,0.253,"STRONG",0.473,0.22,"WIN"
2021,3,"Minnesota @ Colorado","Minnesota",2.5,0.237,"STRONG",0.375,0.138,"WIN"
2021,3,"Ball State @ Wyoming","Ball State",6.5,0.224,"STRONG",0.421,0.198,"LOSS"
2021,3,"Arizona State @ BYU","BYU",3,0.201,"STRONG",0.434,0.233,"WIN"
2021,3,"Florida State @ Wake Forest","Florida State",4.5,0.199,"std",0.47,0.271,"LOSS"
2021,3,"Auburn @ Penn State","Penn State",-4,0.173,"std",0.435,0.262,"WIN"
2021,3,"Virginia Tech @ West Virginia","West Virginia",-2,0.155,"std",0.366,0.211,"WIN"
2021,3,"Fresno State @ UCLA","UCLA",-11,0.152,"std",0.463,0.31,"LOSS"
2021,3,"Western Michigan @ Pittsburgh","Western Michigan",14.5,0.15,"std",0.433,0.283,"WIN"
2021,3,"Kent State @ Iowa","Kent State",22.5,0.129,"std",0.344,0.215,"LOSS"
2021,3,"UAB @ North Texas","North Texas",12.5,0.126,"std",0.429,0.303,"LOSS"
2021,3,"Utah @ San Diego State","San Diego State",8,0.124,"std",0.515,0.391,"WIN"
2021,3,"New Mexico @ Texas A&M","New Mexico",30,0.116,"std",0.353,0.237,"LOSS"
2021,3,"Boston College @ Temple","Temple",15,0.109,"std",0.409,0.3,"LOSS"
2021,3,"Iowa State @ UNLV","UNLV",32,0.103,"std",0.429,0.326,"LOSS"
2021,4,"Miami (OH) @ Army","Army",-7.5,0.406,"STRONG",0.616,0.211,"WIN"
2021,4,"UAB @ Tulane","Tulane",-2.5,0.216,"STRONG",0.51,0.295,"LOSS"
2021,4,"UCLA @ Stanford","UCLA",-4,0.211,"STRONG",0.457,0.246,"WIN"
2021,4,"Tennessee @ Florida","Tennessee",19,0.2,"STRONG",0.588,0.388,"LOSS"
2021,4,"California @ Washington","Washington",-7.5,0.164,"std",0.385,0.22,"LOSS"
2021,4,"Colorado State @ Iowa","Colorado State",23.5,0.16,"std",0.377,0.216,"WIN"
2021,4,"Georgia State @ Auburn","Georgia State",27.5,0.156,"std",0.41,0.254,"WIN"
2021,4,"San José State @ Western Michigan","Western Michigan",-2.5,0.154,"std",0.429,0.275,"WIN"
2021,4,"Navy @ Houston","Navy",20,0.148,"std",0.532,0.384,"WIN"
2021,4,"SMU @ TCU","SMU",9.5,0.147,"std",0.382,0.235,"WIN"
2021,4,"Clemson @ NC State","NC State",10.5,0.144,"std",0.308,0.164,"WIN"
2021,4,"Wake Forest @ Virginia","Virginia",-3.5,0.14,"std",0.42,0.281,"LOSS"
2021,4,"North Texas @ Louisiana Tech","North Texas",10.5,0.139,"std",0.43,0.291,"WIN"
2021,4,"Iowa State @ Baylor","Baylor",7,0.135,"std",0.468,0.333,"WIN"
