"season","week","home_team","away_team","over_under","proj_total","edge","pick","dog_ats","total_points","result","stake_units","pnl","bankroll"
2021,1,"Auburn","Akron",56,51.2,4.8,"UNDER",TRUE,70,"LOSS",4.58,-4.58,95.42
2021,1,"Missouri","Central Michigan",59,52.8,6.2,"UNDER",TRUE,58,"WIN",4.77,4.34,99.76
2021,1,"Tennessee","Bowling Green",60.5,49.7,10.8,"UNDER",TRUE,44,"WIN",4.99,4.53,104.29
2021,1,"New Mexico State","UTEP",59.5,55.1,4.4,"UNDER",TRUE,33,"WIN",4.28,3.89,108.18
2021,1,"Charlotte","Duke",60.5,56.1,4.4,"UNDER",TRUE,59,"WIN",4.36,3.96,112.14
2021,1,"Ole Miss","Louisville",74.5,69.6,4.9,"UNDER",TRUE,67,"WIN",5.25,4.77,116.92
2021,1,"NC State","South Florida",58,53.6,4.4,"UNDER",TRUE,45,"WIN",4.71,4.28,121.19
2021,1,"Wake Forest","Old Dominion",61.5,52.6,8.9,"UNDER",TRUE,52,"WIN",6.06,5.51,126.7
2021,1,"Georgia Tech","Northern Illinois",57,52.5,4.5,"UNDER",TRUE,43,"WIN",5.36,4.87,131.58
2021,1,"Pittsburgh","Massachusetts",56,52.4,3.6,"UNDER",TRUE,58,"LOSS",4.11,-4.11,127.47
2021,1,"Michigan","Western Michigan",65.5,62,3.5,"UNDER",TRUE,61,"WIN",3.78,3.44,130.91
2021,1,"Purdue","Oregon State",68,59.4,8.6,"UNDER",TRUE,51,"WIN",6.55,5.95,136.86
2021,1,"Fresno State","UConn",63.5,59.8,3.7,"UNDER",TRUE,45,"WIN",4.44,4.03,140.89
2021,1,"Houston","Texas Tech",63,58,5,"UNDER",TRUE,59,"WIN",6.69,6.08,146.97
2021,1,"Oklahoma","Tulane",66.5,62.9,3.6,"UNDER",TRUE,75,"LOSS",4.65,-4.65,142.32
2021,1,"UCF","Boise State",67,62.7,4.3,"UNDER",TRUE,67,"WIN",5.62,5.11,147.43
2021,1,"UCLA","Hawai'i",67,58.5,8.5,"UNDER",TRUE,54,"WIN",7.37,6.7,154.13
2021,1,"Oregon","Fresno State",63,58.7,4.3,"UNDER",TRUE,55,"WIN",6.01,5.46,159.6
2021,1,"Washington State","Utah State",66.5,62.2,4.3,"UNDER",TRUE,49,"WIN",6.37,5.79,165.38
2021,1,"USC","San José State",61,54.4,6.6,"UNDER",TRUE,37,"WIN",8.27,7.52,172.9
2021,1,"San Diego State","New Mexico State",50.5,46.8,3.7,"UNDER",TRUE,38,"WIN",5.59,5.08,177.99
2021,2,"Georgia","UAB",44,38,6,"UNDER",TRUE,63,"LOSS",8.9,-8.9,169.09
2021,2,"Tennessee","Pittsburgh",56,44.5,11.5,"UNDER",TRUE,75,"LOSS",8.45,-8.45,160.63
2021,2,"SMU","North Texas",73.5,66,7.5,"UNDER",TRUE,47,"WIN",8.03,7.3,167.93
2021,2,"Penn State","Ball State",58,54,4,"UNDER",TRUE,57,"WIN",6.12,5.56,173.5
2021,2,"Troy","Liberty",62.5,56.5,6,"UNDER",TRUE,34,"WIN",8.67,7.89,181.38
2021,2,"New Mexico","New Mexico State",55.5,51.1,4.4,"UNDER",TRUE,59,"LOSS",7.46,-7.46,173.93
2021,3,"Georgia","South Carolina",47.5,42.3,5.2,"UNDER",TRUE,53,"LOSS",8.69,-8.69,165.24
2021,3,"LSU","Central Michigan",60.5,56.1,4.4,"UNDER",TRUE,70,"LOSS",6.75,-6.75,158.49
2021,3,"Memphis","Mississippi State",63.5,58.9,4.6,"UNDER",TRUE,60,"WIN",6.81,6.19,164.68
2021,3,"North Texas","UAB",58,53.5,4.5,"UNDER",TRUE,46,"WIN",6.93,6.3,170.98
2021,3,"Louisville","UCF",67.5,62.5,5,"UNDER",TRUE,77,"LOSS",8.24,-8.24,162.74
2021,3,"Clemson","Georgia Tech",52.5,49.2,3.3,"UNDER",TRUE,22,"WIN",4.59,4.17,166.91
2021,3,"Illinois","Maryland",61.5,58,3.5,"UNDER",TRUE,37,"WIN",5.02,4.56,171.48
2021,3,"Ohio State","Tulsa",60.5,53.2,7.3,"UNDER",TRUE,61,"LOSS",8.57,-8.57,162.9
2021,3,"UCLA","Fresno State",65,60.5,4.5,"UNDER",TRUE,77,"LOSS",6.82,-6.82,156.09
