"season","week","home_team","away_team","over_under","proj_total","edge","pick","dog_ats","total_points","result","stake_units","pnl","bankroll"
2021,1,"Auburn","Akron",56,51.2,4.8,"UNDER",TRUE,70,"LOSS",4.58,-4.58,95.42
2021,1,"UCLA","LSU",63.5,59.1,4.4,"UNDER",FALSE,65,"LOSS",3.86,-3.86,91.56
2021,1,"Missouri","Central Michigan",59,52.8,6.2,"UNDER",TRUE,58,"WIN",4.58,4.16,95.72
2021,1,"Tennessee","Bowling Green",60.5,49.7,10.8,"UNDER",TRUE,44,"WIN",4.79,4.35,100.07
2021,1,"New Mexico State","UTEP",59.5,55.1,4.4,"UNDER",TRUE,33,"WIN",4.11,3.74,103.81
2021,1,"Charlotte","Duke",60.5,56.1,4.4,"UNDER",TRUE,59,"WIN",4.18,3.8,107.61
2021,1,"Ole Miss","Louisville",74.5,69.6,4.9,"UNDER",TRUE,67,"WIN",5.04,4.58,112.19
2021,1,"NC State","South Florida",58,53.6,4.4,"UNDER",TRUE,45,"WIN",4.52,4.1,116.29
2021,1,"Wake Forest","Old Dominion",61.5,52.6,8.9,"UNDER",TRUE,52,"WIN",5.81,5.29,121.58
2021,1,"Georgia Tech","Northern Illinois",57,52.5,4.5,"UNDER",TRUE,43,"WIN",5.14,4.68,126.25
2021,1,"Maryland","West Virginia",57,51.1,5.9,"UNDER",FALSE,54,"WIN",6.31,5.74,131.99
2021,1,"Northwestern","Michigan State",45.5,41.2,4.3,"UNDER",FALSE,59,"LOSS",5.25,-5.25,126.75
2021,1,"Purdue","Oregon State",68,59.4,8.6,"UNDER",TRUE,51,"WIN",6.34,5.76,132.51
2021,1,"Houston","Texas Tech",63,58,5,"UNDER",TRUE,59,"WIN",6.29,5.72,138.22
2021,1,"UCF","Boise State",67,62.7,4.3,"UNDER",TRUE,67,"WIN",5.46,4.96,143.18
2021,1,"UCLA","Hawai'i",67,58.5,8.5,"UNDER",TRUE,54,"WIN",7.16,6.51,149.69
2021,1,"Oregon","Fresno State",63,58.7,4.3,"UNDER",TRUE,55,"WIN",5.84,5.31,155
2021,1,"Washington State","Utah State",66.5,62.2,4.3,"UNDER",TRUE,49,"WIN",6.18,5.62,160.62
2021,1,"USC","San José State",61,54.4,6.6,"UNDER",TRUE,37,"WIN",8.03,7.3,167.92
2021,2,"Georgia","UAB",44,38,6,"UNDER",TRUE,63,"LOSS",8.4,-8.4,159.52
2021,2,"Kentucky","Missouri",56.5,52.1,4.4,"UNDER",FALSE,63,"LOSS",6.53,-6.53,152.99
