"season","week","home_team","away_team","over_under","proj_total","under_edge","pick","strategy","dog_ats","p_under","totals_ev","totals_bet","totals_units","spread","proj_margin","spread_pick_info","actual_margin","total_points","over_hit"
2025,10,"Kennesaw State","UTEP",53,45.5,7.5,"UNDER","UNDER4+DOG",TRUE,0.676,0.29,TRUE,5,-12.1666666666667,7.7,"UTEP",13,53,0
2025,10,"Ole Miss","South Carolina",55.8333333333333,49.6,6.2,"UNDER","UNDER4+DOG",TRUE,0.647,0.236,TRUE,5,-13,11.7,"South Carolina",16,44,0
2025,10,"San Diego State","Wyoming",42,37.1,4.9,"UNDER","UNDER4",FALSE,0.618,0.18,TRUE,4.95,-10,16.6,"San Diego State",17,31,0
2025,10,"Temple","East Carolina",58.3333333333333,53.4,4.9,"UNDER","UNDER4",FALSE,0.618,0.181,TRUE,4.97,5.33333333333333,-6.4,"East Carolina",-31,59,1
2025,10,"Louisiana Tech","Sam Houston",48,44,4,"UNDER","UNDER4+DOG",TRUE,0.597,0.14,TRUE,3.86,-16.5,11.4,"Sam Houston",41,69,1
2025,10,"Tennessee","Oklahoma",55.6666666666667,52,3.7,"","",FALSE,0.588,0.123,FALSE,0,-2.83333333333333,5.4,"Tennessee",-6,60,1
2025,10,"San José State","Hawai'i",55.6666666666667,52.3,3.3,"","",FALSE,0.58,0.108,FALSE,0,-2.5,4.9,"San José State",7,83,1
2025,10,"UNLV","New Mexico",61.1666666666667,58.3,2.9,"","",FALSE,0.57,0.088,FALSE,0,-3.83333333333333,4,"UNLV",-5,75,1
2025,10,"Liberty","Delaware",52.3333333333333,49.7,2.6,"","",TRUE,0.563,0.074,FALSE,0,-3.5,0.4,"Delaware",29,89,1
2025,10,"Baylor","UCF",58.5,56.4,2.1,"","",TRUE,0.551,0.052,FALSE,0,-3.16666666666667,2.2,"UCF",27,33,0
2025,10,"Western Kentucky","New Mexico State",53.8333333333333,51.8,2.1,"","",FALSE,0.55,0.051,FALSE,0,-7.5,13.4,"Western Kentucky",19,51,0
2025,10,"Arkansas","Mississippi State",66.5,64.6,1.9,"","",TRUE,0.547,0.044,FALSE,0,-5.33333333333333,1,"Mississippi State",-3,73,1
2025,10,"Clemson","Duke",55,53.2,1.8,"","",FALSE,0.544,0.038,FALSE,0,-4.16666666666667,5.7,"Clemson",-1,91,1
