Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
133386-78767,G,Scottie,Scottie Scheffler,Scheffler,107.47222222222223,18,15600,,,,,,,,,G
133386-78530,G,Rory,Rory McIlroy,McIlroy,80.01666768391927,12,12100,,,,,,,,,G
133386-77904,G,Sam,Sam Burns,Burns,78.7388916015625,18,11900,,,,,,,,,G
133386-163390,G,Ludvig,Ludvig Aberg,Aberg,77.82222493489583,18,11800,,,,,,,,,G
133386-78084,G,Tommy,Tommy Fleetwood,Fleetwood,81.41176470588235,17,11600,,,,,,,,,G
133386-78766,G,Xander,Xander Schauffele,Schauffele,73.7388916015625,18,11400,,,,,,,,,G
133386-107336,G,Cameron,Cameron Young,Young,83.21666802300348,18,11100,,,,,,,,,G
133386-78083,G,Matt,Matt Fitzpatrick,Fitzpatrick,85.79444715711806,18,10900,,,,,,,,,G
133386-78508,G,Hideki,Hideki Matsuyama,Matsuyama,80.65237862723214,21,10600,,,,,,,,,G
133386-101713,G,Viktor,Viktor Hovland,Hovland,69.5,17,10500,,,,,,,,,G
133386-165988,G,Chris,Chris Gotterup,Gotterup,78.64761788504464,21,10400,,,,,,,,,G
133386-78346,G,Si Woo,Si Woo Kim,Kim,86.3272705078125,22,10300,,,,,,,,,G
133386-79435,G,Patrick,Patrick Cantlay,Cantlay,70.63333468967014,18,10200,,,,,,,,,G
133386-80788,G,Wyndham,Wyndham Clark,Clark,77.04000244140624,20,10100,,,,,,,,,G
133386-78569,G,Collin,Collin Morikawa,Morikawa,76.32666829427083,15,10000,,,,,,,,,G
133386-78893,G,Justin,Justin Thomas,Thomas,67.17500305175781,16,9900,,,,,,,,,G
133386-79518,G,Jake,Jake Knapp,Knapp,74.3687515258789,16,9800,,,,,,,,,G
133386-78206,G,Russell,Russell Henley,Henley,76.61111111111111,18,9700,,,,,,,,,G
133386-78357,G,Kurt,Kurt Kitayama,Kitayama,73.29000244140624,20,9600,,,,,,,,,G
133386-137069,G,Tom,Tom Kim,Kim,75.52000122070312,20,9500,,,,,,,,,G
133386-110893,G,Robert,Robert MacIntyre,MacIntyre,70.70526444284539,19,9400,,,,,,,,,G
133386-165892,G,Michael,Michael Brennan,Brennan,65.38261081861413,23,9300,,,,,,,,,G
133386-151407,G,Min Woo,Min Woo Lee,Lee,73.44999864366319,18,9200,,,,,,,,,G
133386-78780,G,Adam,Adam Scott,Scott,71.72941320082721,17,9100,,,,,,,,,G
133386-107238,G,Michael,Michael Thorbjornsen,Thorbjornsen,66,20,9000,,,,,,,,,G
133386-78538,G,Maverick,Maverick McNealy,McNealy,73.62000122070313,20,8900,,,,,,,,,G
133386-78831,G,J.J.,J.J. Spaun,Spaun,62.96190243675595,21,8800,,,,,,,,,G
133386-78258,G,Sungjae,Sungjae Im,Im,61.23333449590774,21,8700,,,,,,,,,G
133386-170740,G,Ryan,Ryan Gerard,Gerard,73.05217179008152,23,8600,,,,,,,,,G
133386-78599,G,Alex,Alex Noren,Noren,64.67999877929688,20,8500,,,,,,,,,G
133386-78093,G,Rickie,Rickie Fowler,Fowler,68.20999755859376,20,8400,,,,,,,,,G
133386-101764,G,Ben,Ben Griffin,Griffin,63.12174125339674,23,8300,,,,,,,,,G
133386-78744,G,Justin,Justin Rose,Rose,65.3812484741211,16,8200,,,,,,,,,G
133386-169771,G,Jacob,Jacob Bridgeman,Bridgeman,77.92857142857143,21,8100,,,,,,,,,G
133386-84467,G,Kristoffer,Kristoffer Reitan,Reitan,62.08947111430921,19,8000,,,,,,,,,G
133386-84820,G,Nicolai,Nicolai Hojgaard,Hojgaard,66.53499755859374,20,7900,,,,,,,,,G
133386-78998,G,Gary,Gary Woodland,Woodland,61.925,20,7700,,,,,,,,,G
133386-80560,G,Alex,Alex Smalley,Smalley,70.42857142857143,21,7400,,,,,,,,,G
133386-78709,G,Aaron,Aaron Rai,Rai,59.12941248276655,17,7300,,,,,,,,,G
133386-103030,G,Akshay,Akshay Bhatia,Bhatia,65.3210513466283,19,7000,,,,,,,,,G
133386-77925,G,Bud,Bud Cauley,Cauley,66.36666434151786,21,6900,,,,,,,,,G
133386-166816,G,Alex,Alex Fitzpatrick,Fitzpatrick,67.12727494673295,11,6800,,,,,,,,,G
133386-78689,G,J.T.,J.T. Poston,Poston,60.81500244140625,20,6700,,,,,,,,,G
133386-78095,G,Ryan,Ryan Fox,Fox,69.02941176470588,17,6600,,,,,,,,,G
133386-163239,G,Ryo,Ryo Hisatsune,Hisatsune,71.15416463216145,24,6500,,,,,,,,,G
133386-179513,G,Nicolas,Nicolas Echavarria,Echavarria,56.02608589504076,23,6400,,,,,,,,,G
133386-79759,G,Sahith,Sahith Theegala,Theegala,70.795654296875,23,6300,,,,,,,,,G
133386-151428,G,Eric,Eric Cole,Cole,66.90454656427556,22,6200,,,,,,,,,G
133386-80579,G,Sepp,Sepp Straka,Straka,55.87368292557566,19,6100,,,,,,,,,G
133386-170736,G,Matthew,Matthew McCarty,McCarty,58.98333231608073,24,6000,,,,,,,,,G
