player_name,pct_drafted,dk_position,fpts,norm,sport,slate_id,contest_id,captured_ts
Cameron Young,39.9,G,17.5,cameron young,golf,golf-dk-2026-08-06-main,193182823,2026-08-06 16:00:17
Hideki Matsuyama,33.55,G,27.5,hideki matsuyama,golf,golf-dk-2026-08-06-main,193182823,2026-08-06 16:00:17
Blades Brown,32.53,G,8,blades brown,golf,golf-dk-2026-08-06-main,193182823,2026-08-06 16:00:17
Ben Kohles,28.13,G,25.5,ben kohles,golf,golf-dk-2026-08-06-main,193182823,2026-08-06 16:00:17
Tom Kim,26.46,G,33.5,tom kim,golf,golf-dk-2026-08-06-main,193182823,2026-08-06 16:00:17
Ryan Gerard,23.75,G,14.5,ryan gerard,golf,golf-dk-2026-08-06-main,193182823,2026-08-06 16:00:17
Jackson Koivun,23.08,G,13,jackson koivun,golf,golf-dk-2026-08-06-main,193182823,2026-08-06 16:00:17
Davis Thompson,20.9,G,44.5,davis thompson,golf,golf-dk-2026-08-06-main,193182823,2026-08-06 16:00:17
Aaron Rai,19.18,G,16.5,aaron rai,golf,golf-dk-2026-08-06-main,193182823,2026-08-06 16:00:17
Ben Griffin,18.13,G,14,ben griffin,golf,golf-dk-2026-08-06-main,193182823,2026-08-06 16:00:17
Sungjae Im,17.72,G,24,sungjae im,golf,golf-dk-2026-08-06-main,193182823,2026-08-06 16:00:17
Alex Fitzpatrick,16.61,G,30.5,alex fitzpatrick,golf,golf-dk-2026-08-06-main,193182823,2026-08-06 16:00:17
Ryo Hisatsune,16.47,G,5.5,ryo hisatsune,golf,golf-dk-2026-08-06-main,193182823,2026-08-06 16:00:17
Mac Meissner,15.77,G,18,mac meissner,golf,golf-dk-2026-08-06-main,193182823,2026-08-06 16:00:17
Justin Thomas,14.37,G,27,justin thomas,golf,golf-dk-2026-08-06-main,193182823,2026-08-06 16:00:17
Brian Harman,11.34,G,18.5,brian harman,golf,golf-dk-2026-08-06-main,193182823,2026-08-06 16:00:17
Michael Kim,11.19,G,13,michael kim,golf,golf-dk-2026-08-06-main,193182823,2026-08-06 16:00:17
Bud Cauley,10.96,G,29,bud cauley,golf,golf-dk-2026-08-06-main,193182823,2026-08-06 16:00:17
J.T. Poston,10.32,G,12,jt poston,golf,golf-dk-2026-08-06-main,193182823,2026-08-06 16:00:17
Emiliano Grillo,9.56,G,21.5,emiliano grillo,golf,golf-dk-2026-08-06-main,193182823,2026-08-06 16:00:17
Chris Kirk,9.41,G,15,chris kirk,golf,golf-dk-2026-08-06-main,193182823,2026-08-06 16:00:17
Christiaan Bezuidenhout,8.98,G,19.5,christiaan bezuidenhout,golf,golf-dk-2026-08-06-main,193182823,2026-08-06 16:00:17
Alex Smalley,8.22,G,16,alex smalley,golf,golf-dk-2026-08-06-main,193182823,2026-08-06 16:00:17
Doug Ghim,7.49,G,53,doug ghim,golf,golf-dk-2026-08-06-main,193182823,2026-08-06 16:00:17
Zac Blair,7.46,G,19.5,zac blair,golf,golf-dk-2026-08-06-main,193182823,2026-08-06 16:00:17
Jordan L. Smith,7.46,G,36,jordan l smith,golf,golf-dk-2026-08-06-main,193182823,2026-08-06 16:00:17
Keegan Bradley,7.4,G,18,keegan bradley,golf,golf-dk-2026-08-06-main,193182823,2026-08-06 16:00:17
Brooks Koepka,6.88,G,21.5,brooks koepka,golf,golf-dk-2026-08-06-main,193182823,2026-08-06 16:00:17
Matt Wallace,6.7,G,10,matt wallace,golf,golf-dk-2026-08-06-main,193182823,2026-08-06 16:00:17
Keith Mitchell,6.35,G,39,keith mitchell,golf,golf-dk-2026-08-06-main,193182823,2026-08-06 16:00:17
Maverick McNealy,6,G,24,maverick mcnealy,golf,golf-dk-2026-08-06-main,193182823,2026-08-06 16:00:17
Benjamin James,5.97,G,42,benjamin james,golf,golf-dk-2026-08-06-main,193182823,2026-08-06 16:00:17
Sahith Theegala,5.89,G,49,sahith theegala,golf,golf-dk-2026-08-06-main,193182823,2026-08-06 16:00:17
Michael Brennan,5.57,G,27.5,michael brennan,golf,golf-dk-2026-08-06-main,193182823,2026-08-06 16:00:17
Jordan Spieth,5.42,G,13,jordan spieth,golf,golf-dk-2026-08-06-main,193182823,2026-08-06 16:00:17
Ricky Castillo,5.3,G,21.5,ricky castillo,golf,golf-dk-2026-08-06-main,193182823,2026-08-06 16:00:17
Harris English,5.16,G,10.5,harris english,golf,golf-dk-2026-08-06-main,193182823,2026-08-06 16:00:17
Denny McCarthy,4.46,G,43,denny mccarthy,golf,golf-dk-2026-08-06-main,193182823,2026-08-06 16:00:17
Billy Horschel,4.31,G,31.5,billy horschel,golf,golf-dk-2026-08-06-main,193182823,2026-08-06 16:00:17
Alex Noren,4.28,G,20.5,alex noren,golf,golf-dk-2026-08-06-main,193182823,2026-08-06 16:00:17
Matthew McCarty,4.11,G,30,matthew mccarty,golf,golf-dk-2026-08-06-main,193182823,2026-08-06 16:00:17
Rasmus Højgaard,3.82,G,19,rasmus hojgaard,golf,golf-dk-2026-08-06-main,193182823,2026-08-06 16:00:17
Jackson Suber,3.58,G,21.5,jackson suber,golf,golf-dk-2026-08-06-main,193182823,2026-08-06 16:00:17
Nick Taylor,3.09,G,11,nick taylor,golf,golf-dk-2026-08-06-main,193182823,2026-08-06 16:00:17
Kris Ventura,2.89,G,21.5,kris ventura,golf,golf-dk-2026-08-06-main,193182823,2026-08-06 16:00:17
Eric Cole,2.56,G,41.5,eric cole,golf,golf-dk-2026-08-06-main,193182823,2026-08-06 16:00:17
Chandler Phillips,2.39,G,17,chandler phillips,golf,golf-dk-2026-08-06-main,193182823,2026-08-06 16:00:17
Davis Chatfield,2.33,G,25.5,davis chatfield,golf,golf-dk-2026-08-06-main,193182823,2026-08-06 16:00:17
Sepp Straka,2.19,G,4.5,sepp straka,golf,golf-dk-2026-08-06-main,193182823,2026-08-06 16:00:17
