event_id,num_bets,total_units,wins,win_rate,avg_prob,profit,roi
478,10,16,10,1,0.321670807727358,24,150
60,17,27,11,0.647058823529412,0.317000777880657,17,62.962962962963
483,11,15,7,0.636363636363636,0.270588952251537,13,86.6666666666667
2,14,19.5,7,0.5,0.28099922784459,8.5,43.5897435897436
5,34,44.5,13,0.382352941176471,0.26946159976832,7.5,16.8539325842697
32,22,31,9,0.409090909090909,0.299207642543309,5,16.1290322580645
30,19,24,7,0.368421052631579,0.264376203000168,4,16.6666666666667
88,4,5,2,0.5,0.26922086075969,3,60
528,11,15,4,0.363636363636364,0.273573378832389,1,6.66666666666667
457,15,20,5,0.333333333333333,0.261721656090564,0,0
472,19,25,6,0.315789473684211,0.265407492836857,-1,-4
34,26,41.5,10,0.384615384615385,0.333946773247156,-1.5,-3.6144578313253
518,11,14.5,3,0.272727272727273,0.255158771812109,-2.5,-17.2413793103448
464,15,19.5,4,0.266666666666667,0.2740264382044,-3.5,-17.948717948718
28,13,18,3,0.230769230769231,0.2862289097885,-6,-33.3333333333333
554,11,14.5,2,0.181818181818182,0.268285694334178,-6.5,-44.8275862068966
9,21,28,5,0.238095238095238,0.277484795380882,-8,-28.5714285714286
3,23,36.5,7,0.304347826086957,0.333766935323193,-8.5,-23.2876712328767
527,29,40.5,8,0.275862068965517,0.293288089203413,-8.5,-20.9876543209877
525,31,43.5,8,0.258064516129032,0.28500427871847,-11.5,-26.4367816091954
41,21,28,4,0.19047619047619,0.263592153138862,-12,-42.8571428571429
6,32,37.5,6,0.1875,0.247484206731204,-13.5,-36
475,28,43,7,0.25,0.310288784896487,-15,-34.8837209302326
54,26,35.5,5,0.192307692307692,0.266548966252864,-15.5,-43.6619718309859
7,28,41,6,0.214285714285714,0.286026573456457,-17,-41.4634146341463
493,32,45.5,7,0.21875,0.279282610887963,-17.5,-38.4615384615385
4,40,55.5,9,0.225,0.288380597368051,-19.5,-35.1351351351351
541,29,44,6,0.206896551724138,0.303580630918612,-20,-45.4545454545455
524,38,54.5,7,0.184210526315789,0.284319051777983,-26.5,-48.6238532110092
