event_id,player_id,model_prob,finish,outcome,units,odds,payout,profit,sg_last_24
2,19895,0.428,,WIN,2,+300,8,6,1.46
2,19428,0.39,,WIN,2,+300,8,6,1.35
2,19483,0.369,,WIN,2,+300,8,6,1.13
2,22051,0.312,,LOSS,1.5,+300,0,-1.5,1.06
2,14704,0.295,,WIN,1.5,+300,6,4.5,0.88
2,13900,0.285,,LOSS,1.5,+300,0,-1.5,0.84
2,28270,0.274,,WIN,1.5,+300,6,4.5,0.66
2,8825,0.27,,WIN,1.5,+300,6,4.5,0.59
2,19477,0.249,,LOSS,1,+300,0,-1,0.58
2,14852,0.215,,LOSS,1,+300,0,-1,0.35
2,14509,0.215,,LOSS,1,+300,0,-1,0.41
2,18103,0.211,,LOSS,1,+300,0,-1,0.27
2,25157,0.211,,WIN,1,+300,4,3,0.36
2,17511,0.209,,LOSS,1,+300,0,-1,-0.09
28,13562,0.539,,LOSS,2.5,+300,0,-2.5,2.09
28,12294,0.443,,LOSS,2,+300,0,-2,1.45
28,16602,0.318,,LOSS,1.5,+300,0,-1.5,1.11
28,24766,0.307,,LOSS,1.5,+300,0,-1.5,1.09
28,17646,0.275,,LOSS,1.5,+300,0,-1.5,0.84
28,13900,0.256,,WIN,1.5,+300,6,4.5,0.56
28,14704,0.252,,LOSS,1.5,+300,0,-1.5,0.62
28,17365,0.246,,LOSS,1,+300,0,-1,0.65
28,18761,0.222,,WIN,1,+300,4,3,0.14
28,13497,0.219,,WIN,1,+300,4,3,0.47
28,14181,0.218,,LOSS,1,+300,0,-1,0.48
28,19455,0.216,,LOSS,1,+300,0,-1,0.26
28,23604,0.209,,LOSS,1,+300,0,-1,0.47
3,18417,0.618,,WIN,2.5,+300,10,7.5,2.34
3,19895,0.574,,WIN,2.5,+300,10,7.5,2.47
3,17488,0.516,,WIN,2.5,+300,10,7.5,2.19
3,8825,0.453,,WIN,2,+300,8,6,1.87
3,18554,0.432,,LOSS,2,+300,0,-2,2.14
3,17576,0.394,,LOSS,2,+300,0,-2,1.59
3,24550,0.387,,LOSS,2,+300,0,-2,1.3
3,18841,0.349,,LOSS,1.5,+300,0,-1.5,0.99
3,19483,0.34,,LOSS,1.5,+300,0,-1.5,1.42
3,13965,0.312,,LOSS,1.5,+300,0,-1.5,1.14
3,16333,0.293,,LOSS,1.5,+300,0,-1.5,0.89
3,19865,0.293,,LOSS,1.5,+300,0,-1.5,0.93
3,12423,0.28,,WIN,1.5,+300,6,4.5,0.93
3,15475,0.273,,LOSS,1.5,+300,0,-1.5,0.9
3,23323,0.263,,LOSS,1.5,+300,0,-1.5,0.57
3,12425,0.259,,LOSS,1.5,+300,0,-1.5,1.06
3,9771,0.255,,WIN,1.5,+300,6,4.5,0.7
3,13497,0.249,,LOSS,1,+300,0,-1,0.52
3,15852,0.246,,LOSS,1,+300,0,-1,0.5
3,26651,0.244,,LOSS,1,+300,0,-1,0.79
3,8480,0.219,,LOSS,1,+300,0,-1,0.35
3,14796,0.219,,WIN,1,+300,4,3,0.26
3,14704,0.21,,LOSS,1,+300,0,-1,0.31
30,17488,0.464,,WIN,2,+300,8,6,1.73
30,21554,0.43,,WIN,2,+300,8,6,1.5
30,23465,0.348,,LOSS,1.5,+300,0,-1.5,1.24
30,28270,0.301,,LOSS,1.5,+300,0,-1.5,0.67
30,17536,0.27,,LOSS,1.5,+300,0,-1.5,0.76
30,14698,0.266,,LOSS,1.5,+300,0,-1.5,0.75
30,23482,0.265,,WIN,1.5,+300,6,4.5,0.53
30,13497,0.259,,LOSS,1.5,+300,0,-1.5,0.66
30,15980,0.25,,LOSS,1,+300,0,-1,0.66
30,9586,0.231,,LOSS,1,+300,0,-1,0.54
30,17511,0.231,,WIN,1,+300,4,3,0.11
30,19865,0.229,,LOSS,1,+300,0,-1,0.52
30,9771,0.228,,LOSS,1,+300,0,-1,0.28
30,24481,0.222,,LOSS,1,+300,0,-1,0.29
30,15330,0.212,,LOSS,1,+300,0,-1,0.12
30,15004,0.211,,WIN,1,+300,4,3,0.25
30,18187,0.204,,LOSS,1,+300,0,-1,0.07
30,20519,0.202,,WIN,1,+300,4,3,0.3
30,12808,0.2,,WIN,1,+300,4,3,0.12
32,18417,0.498,,WIN,2,+300,8,6,1.51
32,21554,0.462,,LOSS,2,+300,0,-2,2.32
32,18474,0.45,,LOSS,2,+300,0,-2,1.57
32,24968,0.39,,WIN,2,+300,8,6,0.95
32,10091,0.344,,WIN,1.5,+300,6,4.5,0.9
32,21756,0.339,,WIN,1.5,+300,6,4.5,0.98
32,23604,0.31,,WIN,1.5,+300,6,4.5,0.9
32,13900,0.303,,WIN,1.5,+300,6,4.5,0.82
32,23465,0.294,,LOSS,1.5,+300,0,-1.5,0.77
32,17536,0.284,,LOSS,1.5,+300,0,-1.5,0.74
32,18761,0.272,,LOSS,1.5,+300,0,-1.5,0.79
32,26651,0.267,,LOSS,1.5,+300,0,-1.5,0.64
32,15475,0.267,,WIN,1.5,+300,6,4.5,0.35
32,16394,0.258,,LOSS,1.5,+300,0,-1.5,0.54
32,19865,0.246,,LOSS,1,+300,0,-1,0.56
32,15470,0.24,,WIN,1,+300,4,3,0.44
32,18579,0.239,,WIN,1,+300,4,3,0.4
32,12577,0.238,,LOSS,1,+300,0,-1,0.49
32,17606,0.237,,LOSS,1,+300,0,-1,0.46
32,13497,0.228,,LOSS,1,+300,0,-1,0.59
32,23602,0.212,,LOSS,1,+300,0,-1,0.38
32,21688,0.205,,LOSS,1,+300,0,-1,0.22
34,18417,0.509,,WIN,2.5,+300,10,7.5,1.49
34,24968,0.503,,LOSS,2.5,+300,0,-2.5,1.64
34,13562,0.484,,WIN,2,+300,8,6,1.93
34,18103,0.474,,LOSS,2,+300,0,-2,1.65
34,6430,0.453,,WIN,2,+300,8,6,1.64
34,19195,0.424,,LOSS,2,+300,0,-2,1.32
34,16841,0.42,,WIN,2,+300,8,6,1.5
34,17576,0.42,,WIN,2,+300,8,6,1.31
34,18474,0.416,,LOSS,2,+300,0,-2,1.35
34,14139,0.38,,WIN,2,+300,8,6,1
34,23475,0.362,,LOSS,2,+300,0,-2,1.22
34,23656,0.334,,WIN,1.5,+300,6,4.5,0.82
34,12808,0.313,,LOSS,1.5,+300,0,-1.5,0.84
34,8825,0.313,,WIN,1.5,+300,6,4.5,0.91
34,16283,0.301,,LOSS,1.5,+300,0,-1.5,0.77
34,23482,0.276,,LOSS,1.5,+300,0,-1.5,0.79
34,17511,0.269,,LOSS,1.5,+300,0,-1.5,0.7
34,26651,0.268,,LOSS,1.5,+300,0,-1.5,0.8
34,22051,0.248,,LOSS,1,+300,0,-1,0.64
34,17639,0.238,,WIN,1,+300,4,3,0.47
34,25157,0.228,,LOSS,1,+300,0,-1,0.54
34,16602,0.216,,LOSS,1,+300,0,-1,0.32
34,9771,0.215,,LOSS,1,+300,0,-1,0.15
34,6986,0.209,,LOSS,1,+300,0,-1,0.3
34,18634,0.205,,LOSS,1,+300,0,-1,0.19
34,13497,0.204,,WIN,1,+300,4,3,0.45
4,19895,0.515,,LOSS,2.5,+300,0,-2.5,1.91
4,14139,0.476,,WIN,2,+300,8,6,2.05
4,13562,0.426,,LOSS,2,+300,0,-2,1.52
4,19483,0.37,,LOSS,2,+300,0,-2,1.54
4,15556,0.364,,LOSS,2,+300,0,-2,1.55
4,16243,0.349,,LOSS,1.5,+300,0,-1.5,1.01
4,14609,0.338,,WIN,1.5,+300,6,4.5,1.23
4,23465,0.331,,LOSS,1.5,+300,0,-1.5,1
4,22085,0.318,,WIN,1.5,+300,6,4.5,0.7
4,22760,0.316,,LOSS,1.5,+300,0,-1.5,0.86
4,17576,0.314,,LOSS,1.5,+300,0,-1.5,1.14
