key,market,book,player_id,player,opp_ids,opponent,book_odds,dg_fair_p,dg_fair_odds,ev_vs_dg,event,ts,close_odds,close_dg_fair_p,clv_pct,beat,ev_at_close,flagged
"3_balls bet365 10104 19840,25908",3_balls,bet365,10104,"Power, Seamus","19840,25908","Ramey, Chad / Whaley, Vince",2.62,0.34859,2.869,-0.0867,RBC Canadian Open,2026-06-10 09:51:07.45615,2.62,0.34859,0,FALSE,-0.0866942,FALSE
"3_balls bet365 10419 17786,18628",3_balls,bet365,10419,"Noren, Alex","17786,18628","Davis, Cam / Campbell, Brian",1.725,0.56186,1.78,-0.031,RBC Canadian Open,2026-06-10 09:51:07.45615,1.725,0.56186,0,FALSE,-0.0307914999999999,FALSE
"3_balls bet365 10873 20766,30036882",3_balls,bet365,10873,"Skinns, David","20766,30036882","Brown, Dan / Zhao, Eric",2.25,0.43386,2.305,-0.0238,RBC Canadian Open,2026-06-10 09:51:07.45615,2.25,0.43386,0,FALSE,-0.0238149999999999,FALSE
"3_balls bet365 11276 12423,27364",3_balls,bet365,11276,"Horschel, Billy","12423,27364","Kirk, Chris / Thompson, Davis",3.1,0.27127,3.686,-0.1591,RBC Canadian Open,2026-06-10 09:51:07.45615,3.1,0.27127,0,FALSE,-0.159063,FALSE
"3_balls bet365 11441 17032,22002",3_balls,bet365,11441,"Covello, Vince","17032,22002","Tosti, Alejandro / Dumont De Chassart, Adrien",4.2,0.16239,6.158,-0.318,RBC Canadian Open,2026-06-10 09:51:07.45615,4.2,0.16239,0,FALSE,-0.317962,FALSE
"3_balls bet365 11451 15470,25157",3_balls,bet365,11451,"Garnett, Brice","15470,25157","Hossler, Beau / Hodges, Lee",3.5,0.25062,3.99,-0.1228,RBC Canadian Open,2026-06-10 09:51:07.45615,3.5,0.25062,0,FALSE,-0.12283,FALSE
"3_balls bet365 11676 24342,29197",3_balls,bet365,11676,"Finau, Tony","24342,29197","Higgo, Garrick / Brennan, Michael",2.6,0.37013,2.702,-0.0377,RBC Canadian Open,2026-06-10 09:51:07.45615,2.6,0.37013,0,FALSE,-0.037662,FALSE
"3_balls bet365 11889 13126,16243",3_balls,bet365,11889,"Fox, Ryan","13126,16243","Taylor, Nick / Koepka, Brooks",3,0.32072,3.118,-0.0378,RBC Canadian Open,2026-06-10 09:51:07.45615,3,0.32072,0,FALSE,-0.03784,FALSE
"3_balls bet365 12294 17576,23014",3_balls,bet365,12294,"Fleetwood, Tommy","17576,23014","Conners, Corey / Theegala, Sahith",2.05,0.47441,2.108,-0.0275,RBC Canadian Open,2026-06-10 09:51:07.45615,2.05,0.47441,0,FALSE,-0.0274595000000001,FALSE
"3_balls bet365 12423 11276,27364",3_balls,bet365,12423,"Kirk, Chris","11276,27364","Horschel, Billy / Thompson, Davis",2.87,0.31569,3.168,-0.094,RBC Canadian Open,2026-06-10 09:51:07.45615,2.87,0.31569,0,FALSE,-0.0939696999999999,FALSE
"3_balls bet365 12426 19846,31347",3_balls,bet365,12426,"Waring, Paul","19846,31347","Bauchou, Zach / Desmarchais, Laurent",2.45,0.3969,2.52,-0.0276,RBC Canadian Open,2026-06-10 09:51:07.45615,2.45,0.3969,0,FALSE,-0.027595,FALSE
"3_balls bet365 12808 17550,5716",3_balls,bet365,12808,"Grillo, Emiliano","17550,5716","Harrington, Padraig / Van Rooyen, Erik",2.3,0.42119,2.374,-0.0313,RBC Canadian Open,2026-06-10 09:51:07.45615,2.3,0.42119,0,FALSE,-0.031263,FALSE
"3_balls bet365 12909 16715,23505",3_balls,bet365,12909,"Campos, Rafael","16715,23505","Ryder, Sam / McGreevy, Max",4.33,0.19106,5.234,-0.1727,RBC Canadian Open,2026-06-10 09:51:07.45615,4.33,0.19106,0,FALSE,-0.1727102,FALSE
"3_balls bet365 12920 17723,21943",3_balls,bet365,12920,"Willett, Danny","17723,21943","Lower, Justin / Lebioda, Hank",2.62,0.33356,2.998,-0.1261,RBC Canadian Open,2026-06-10 09:51:07.45615,2.62,0.33356,0,FALSE,-0.1260728,FALSE
"3_balls bet365 13126 11889,16243",3_balls,bet365,13126,"Taylor, Nick","11889,16243","Fox, Ryan / Koepka, Brooks",2.62,0.34166,2.927,-0.1048,RBC Canadian Open,2026-06-10 09:51:07.45615,2.62,0.34166,0,FALSE,-0.1048508,FALSE
"3_balls bet365 13412 13997,19960",3_balls,bet365,13412,"Olesen, Thorbjorn","13997,19960","Svensson, Adam / Pavon, Matthieu",2.37,0.3956,2.528,-0.0624,RBC Canadian Open,2026-06-10 09:51:07.45615,2.37,0.3956,0,FALSE,-0.0624279999999999,FALSE
"3_balls bet365 13470 15980,24550",3_balls,bet365,13470,"Kizzire, Patton","15980,24550","Lipsky, David / Ghim, Doug",4,0.19436,5.145,-0.2225,RBC Canadian Open,2026-06-10 09:51:07.45615,4,0.19436,0,FALSE,-0.22256,FALSE
"3_balls bet365 13508 17538,26657",3_balls,bet365,13508,"Vegas, Jhonattan","17538,26657","Homa, Max / Fisk, Steven",3.25,0.27616,3.621,-0.1025,RBC Canadian Open,2026-06-10 09:51:07.45615,3.25,0.27616,0,FALSE,-0.10248,FALSE
