family,actual,cashed,du_roi,pctile,gpp_roi,event_id,year
cash,497.5,1,0.8,0.966666666666667,2,10,2025
balanced,497.5,1,0.8,0.966666666666667,2,10,2025
leverage,497.5,1,0.8,0.966666666666667,2,10,2025
cash,367,1,0.8,0.7725,-1,100,2025
balanced,367,1,0.8,0.7725,-1,100,2025
leverage,367,1,0.8,0.7725,-1,100,2025
cash,285.5,0,-1,0.453333333333333,-1,11,2025
balanced,285.5,0,-1,0.453333333333333,-1,11,2025
leverage,285.5,0,-1,0.453333333333333,-1,11,2025
cash,514,1,0.8,0.960833333333333,2,12,2025
balanced,514,1,0.8,0.960833333333333,2,12,2025
leverage,514,1,0.8,0.960833333333333,2,12,2025
cash,390.5,1,0.8,0.804166666666667,0.2,13,2025
balanced,390.5,1,0.8,0.804166666666667,0.2,13,2025
leverage,390.5,1,0.8,0.804166666666667,0.2,13,2025
cash,374,1,0.8,0.858333333333333,0.8,14,2025
balanced,374,1,0.8,0.858333333333333,0.8,14,2025
leverage,374,1,0.8,0.858333333333333,0.8,14,2025
cash,683,1,0.8,0.809166666666667,0.2,16,2025
balanced,683,1,0.8,0.809166666666667,0.2,16,2025
leverage,683,1,0.8,0.809166666666667,0.2,16,2025
cash,452.5,1,0.8,0.834166666666667,0.2,19,2025
balanced,452.5,1,0.8,0.834166666666667,0.2,19,2025
leverage,452.5,1,0.8,0.834166666666667,0.2,19,2025
cash,484.5,1,0.8,0.6925,-1,2,2025
balanced,484.5,1,0.8,0.6925,-1,2,2025
leverage,484.5,1,0.8,0.6925,-1,2,2025
cash,321,1,0.8,0.519166666666667,-1,20,2025
balanced,321,1,0.8,0.519166666666667,-1,20,2025
leverage,321,1,0.8,0.519166666666667,-1,20,2025
cash,370,1,0.8,0.92,0.8,21,2025
balanced,370,1,0.8,0.92,0.8,21,2025
leverage,370,1,0.8,0.92,0.8,21,2025
cash,336,1,0.8,0.659166666666667,-1,23,2025
balanced,336,1,0.8,0.659166666666667,-1,23,2025
leverage,336,1,0.8,0.659166666666667,-1,23,2025
cash,318,1,0.8,0.980833333333333,5,26,2025
balanced,318,1,0.8,0.980833333333333,5,26,2025
leverage,318,1,0.8,0.980833333333333,5,26,2025
cash,540,1,0.8,0.9875,5,27,2025
balanced,540,1,0.8,0.9875,5,27,2025
leverage,540,1,0.8,0.9875,5,27,2025
cash,407,1,0.8,0.793333333333333,0.2,28,2025
balanced,407,1,0.8,0.793333333333333,0.2,28,2025
leverage,407,1,0.8,0.793333333333333,0.2,28,2025
cash,318.5,0,-1,0.38,-1,3,2025
balanced,318.5,0,-1,0.38,-1,3,2025
leverage,318.5,0,-1,0.38,-1,3,2025
cash,427.5,1,0.8,0.87,0.8,30,2025
balanced,427.5,1,0.8,0.87,0.8,30,2025
leverage,427.5,1,0.8,0.87,0.8,30,2025
cash,252.5,0,-1,0.120833333333333,-1,32,2025
balanced,252.5,0,-1,0.120833333333333,-1,32,2025
leverage,252.5,0,-1,0.120833333333333,-1,32,2025
cash,315.5,1,0.8,0.761666666666667,-1,33,2025
balanced,315.5,1,0.8,0.761666666666667,-1,33,2025
leverage,315.5,1,0.8,0.761666666666667,-1,33,2025
cash,456,1,0.8,0.761666666666667,-1,34,2025
balanced,456,1,0.8,0.761666666666667,-1,34,2025
leverage,456,1,0.8,0.761666666666667,-1,34,2025
cash,273.5,1,0.8,0.6625,-1,4,2025
balanced,273.5,1,0.8,0.6625,-1,4,2025
leverage,273.5,1,0.8,0.6625,-1,4,2025
cash,320.5,1,0.8,0.84,0.2,41,2025
balanced,320.5,1,0.8,0.84,0.2,41,2025
leverage,320.5,1,0.8,0.84,0.2,41,2025
cash,360,0,-1,0.0833333333333333,-1,457,2025
balanced,360,0,-1,0.0833333333333333,-1,457,2025
leverage,360,0,-1,0.0833333333333333,-1,457,2025
cash,353,1,0.8,0.643333333333333,-1,464,2025
balanced,353,1,0.8,0.643333333333333,-1,464,2025
leverage,353,1,0.8,0.643333333333333,-1,464,2025
cash,247.5,0,-1,0.4,-1,475,2025
balanced,247.5,0,-1,0.4,-1,475,2025
leverage,247.5,0,-1,0.4,-1,475,2025
cash,457.5,1,0.8,0.719166666666667,-1,480,2025
balanced,457.5,1,0.8,0.719166666666667,-1,480,2025
leverage,457.5,1,0.8,0.719166666666667,-1,480,2025
cash,569,1,0.8,0.994166666666667,19,483,2025
balanced,569,1,0.8,0.994166666666667,19,483,2025
leverage,569,1,0.8,0.994166666666667,19,483,2025
cash,426.5,1,0.8,0.608333333333333,-1,493,2025
balanced,426.5,1,0.8,0.608333333333333,-1,493,2025
leverage,426.5,1,0.8,0.608333333333333,-1,493,2025
cash,437,0,-1,0.185,-1,5,2025
balanced,437,0,-1,0.185,-1,5,2025
leverage,437,0,-1,0.185,-1,5,2025
cash,250.5,0,-1,0.415,-1,518,2025
balanced,250.5,0,-1,0.415,-1,518,2025
leverage,250.5,0,-1,0.415,-1,518,2025
cash,478,1,0.8,0.9775,5,522,2025
balanced,478,1,0.8,0.9775,5,522,2025
leverage,478,1,0.8,0.9775,5,522,2025
cash,440,1,0.8,0.649166666666667,-1,524,2025
balanced,440,1,0.8,0.649166666666667,-1,524,2025
leverage,440,1,0.8,0.649166666666667,-1,524,2025
cash,416.5,1,0.8,0.6525,-1,525,2025
balanced,416.5,1,0.8,0.6525,-1,525,2025
leverage,416.5,1,0.8,0.6525,-1,525,2025
cash,531.5,1,0.8,0.935833333333333,2,527,2025
balanced,531.5,1,0.8,0.935833333333333,2,527,2025
leverage,531.5,1,0.8,0.935833333333333,2,527,2025
cash,228,0,-1,0.0691666666666667,-1,528,2025
balanced,228,0,-1,0.0691666666666667,-1,528,2025
leverage,228,0,-1,0.0691666666666667,-1,528,2025
cash,409.5,1,0.8,0.786666666666667,0.2,54,2025
balanced,409.5,1,0.8,0.786666666666667,0.2,54,2025
leverage,409.5,1,0.8,0.786666666666667,0.2,54,2025
cash,529.5,1,0.8,0.974166666666667,5,540,2025
balanced,529.5,1,0.8,0.974166666666667,5,540,2025
leverage,529.5,1,0.8,0.974166666666667,5,540,2025
cash,396,1,0.8,0.903333333333333,0.8,541,2025
balanced,396,1,0.8,0.903333333333333,0.8,541,2025
leverage,396,1,0.8,0.903333333333333,0.8,541,2025
cash,378.5,1,0.8,0.828333333333333,0.2,553,2025
balanced,378.5,1,0.8,0.828333333333333,0.2,553,2025
leverage,378.5,1,0.8,0.828333333333333,0.2,553,2025
cash,322.5,0,-1,0.269166666666667,-1,554,2025
balanced,322.5,0,-1,0.269166666666667,-1,554,2025
leverage,322.5,0,-1,0.269166666666667,-1,554,2025
cash,423,1,0.8,0.819166666666667,0.2,6,2025
balanced,423,1,0.8,0.819166666666667,0.2,6,2025
leverage,423,1,0.8,0.819166666666667,0.2,6,2025
cash,510,0,-1,0.4025,-1,60,2025
balanced,510,0,-1,0.4025,-1,60,2025
leverage,510,0,-1,0.4025,-1,60,2025
cash,426.5,1,0.8,0.945,2,7,2025
balanced,426.5,1,0.8,0.945,2,7,2025
leverage,426.5,1,0.8,0.945,2,7,2025
cash,334,0,-1,0.47,-1,9,2025
balanced,334,0,-1,0.47,-1,9,2025
leverage,334,0,-1,0.47,-1,9,2025
