date,event,tour,player_id,player_name,dg_own
2026-08-12,FedEx St. Jude Championship,pga,18417,"Scheffler, Scottie",30.51
2026-08-12,FedEx St. Jude Championship,pga,10091,"McIlroy, Rory",16.52
2026-08-12,FedEx St. Jude Championship,pga,12294,"Fleetwood, Tommy",16.63
2026-08-12,FedEx St. Jude Championship,pga,19895,"Schauffele, Xander",16.42
2026-08-12,FedEx St. Jude Championship,pga,17646,"Fitzpatrick, Matt",14.75
2026-08-12,FedEx St. Jude Championship,pga,26651,"Young, Cameron",15.31
2026-08-12,FedEx St. Jude Championship,pga,19483,"Burns, Sam",21.73
2026-08-12,FedEx St. Jude Championship,pga,22085,"Morikawa, Collin",19.2
2026-08-12,FedEx St. Jude Championship,pga,23950,"Aberg, Ludvig",14.55
2026-08-12,FedEx St. Jude Championship,pga,13562,"Matsuyama, Hideki",18.83
2026-08-12,FedEx St. Jude Championship,pga,27774,"Gotterup, Chris",7.52
2026-08-12,FedEx St. Jude Championship,pga,15466,"Cantlay, Patrick",14.02
2026-08-12,FedEx St. Jude Championship,pga,14609,"Kim, Si Woo",12.96
2026-08-12,FedEx St. Jude Championship,pga,14578,"Henley, Russell",13.47
2026-08-12,FedEx St. Jude Championship,pga,23604,"Clark, Wyndham",7.27
2026-08-12,FedEx St. Jude Championship,pga,18841,"Hovland, Viktor",18.5
2026-08-12,FedEx St. Jude Championship,pga,23323,"MacIntyre, Robert",8.53
2026-08-12,FedEx St. Jude Championship,pga,32319,"Koivun, Jackson",10.77
2026-08-12,FedEx St. Jude Championship,pga,14139,"Thomas, Justin",17.73
2026-08-12,FedEx St. Jude Championship,pga,6093,"Rose, Justin",10.34
2026-08-12,FedEx St. Jude Championship,pga,24766,"Kim, Tom",13.28
2026-08-12,FedEx St. Jude Championship,pga,17536,"Spaun, J.J.",12.52
2026-08-12,FedEx St. Jude Championship,pga,24968,"Griffin, Ben",5.88
2026-08-12,FedEx St. Jude Championship,pga,16841,"Lee, Min Woo",6.02
2026-08-12,FedEx St. Jude Championship,pga,21891,"Kitayama, Kurt",7.05
2026-08-12,FedEx St. Jude Championship,pga,18634,"McNealy, Maverick",6.76
2026-08-12,FedEx St. Jude Championship,pga,26649,"Thorbjornsen, Michael",7.55
2026-08-12,FedEx St. Jude Championship,pga,12965,"Fowler, Rickie",10.88
2026-08-12,FedEx St. Jude Championship,pga,29197,"Brennan, Michael",9.22
2026-08-12,FedEx St. Jude Championship,pga,29767,"Gerard, Ryan",8.53
2026-08-12,FedEx St. Jude Championship,pga,26096,"Bhatia, Akshay",11.02
2026-08-12,FedEx St. Jude Championship,pga,13900,"Lowry, Shane",6.8
2026-08-12,FedEx St. Jude Championship,pga,29433,"Bridgeman, Jacob",7.9
2026-08-12,FedEx St. Jude Championship,pga,23602,"Hojgaard, Nicolai",3.35
2026-08-12,FedEx St. Jude Championship,pga,10419,"Noren, Alex",7.56
2026-08-12,FedEx St. Jude Championship,pga,21407,"Reitan, Kristoffer",4.67
2026-08-12,FedEx St. Jude Championship,pga,6430,"Scott, Adam",5.83
2026-08-12,FedEx St. Jude Championship,pga,18474,"Smalley, Alex",7.57
2026-08-12,FedEx St. Jude Championship,pga,19396,"Knapp, Jake",4.91
2026-08-12,FedEx St. Jude Championship,pga,14577,"English, Harris",4.71
2026-08-12,FedEx St. Jude Championship,pga,14636,"Spieth, Jordan",7.42
2026-08-12,FedEx St. Jude Championship,pga,17365,"Mitchell, Keith",4.03
2026-08-12,FedEx St. Jude Championship,pga,18554,"Rai, Aaron",9.84
2026-08-12,FedEx St. Jude Championship,pga,11889,"Fox, Ryan",4.21
2026-08-12,FedEx St. Jude Championship,pga,25362,"Fitzpatrick, Alex",8.18
2026-08-12,FedEx St. Jude Championship,pga,17488,"Im, Sungjae",9.06
2026-08-12,FedEx St. Jude Championship,pga,17576,"Conners, Corey",7.59
2026-08-12,FedEx St. Jude Championship,pga,12577,"Woodland, Gary",4.89
2026-08-12,FedEx St. Jude Championship,pga,18586,"Smith, Jordan",6.03
2026-08-12,FedEx St. Jude Championship,pga,21756,"Cole, Eric",4.76
2026-08-12,FedEx St. Jude Championship,pga,23014,"Theegala, Sahith",4.86
2026-08-12,FedEx St. Jude Championship,pga,8825,"Harman, Brian",5.82
2026-08-12,FedEx St. Jude Championship,pga,14502,"Cauley, Bud",5.48
2026-08-12,FedEx St. Jude Championship,pga,17543,"Kim, Michael",4.77
