Rank,Player,Odds,Model Prob,Market Prob,Edge,EV,Units,SG L24,SG Putt,SG App,SG OTT,SG ARG,Consistency,Form
1,"Hoge, Tom",980,38.4%,9.3%,29.2%,2.86,2,0.81,0.25,0.84,0.12,-0.41,0.31,-0.03
2,"Vegas, Jhonattan",920,28.7%,9.8%,18.9%,1.74,1.5,0.26,-0.71,0.43,0.62,0.03,0.12,-0.25
3,"Schenk, Adam",1750,13.8%,5.4%,8.4%,1.48,1,-0.66,-0.15,-0.44,-0.46,0.37,-0.31,0.35
4,"Finau, Tony",405,47.1%,19.8%,27.3%,1.11,2,0.61,-0.22,0.91,0.18,-0.26,0.27,0.5
5,"Homa, Max",305,58.3%,24.7%,33.6%,1.02,2.5,1.82,0.77,0.78,0.26,0.01,0.85,-0.31
6,"Fox, Ryan",520,34.7%,16.1%,18.6%,0.97,1.5,0.99,0.34,0.35,0.1,0.21,0.47,0.27
7,"Clark, Wyndham",290,50.5%,25.6%,24.9%,0.72,2.5,1.12,0.53,0.68,0.05,-0.14,0.38,0.05
8,"Lipsky, David",690,21.3%,12.7%,8.6%,0.60,1,-0.28,-0.19,0.51,-0.75,0.17,-0.09,-0.24
9,"Woodland, Gary",345,37.6%,22.5%,15.2%,0.52,2,0.56,-0.34,0.6,0.57,-0.26,0.21,0.41
10,"Horschel, Billy",465,28.6%,17.7%,10.9%,0.51,1.5,0.36,-0.1,-0.12,0.14,0.43,0.17,0.28
11,"Bradley, Keegan",230,47.6%,30.3%,17.3%,0.40,2,0.84,0.07,0.22,0.38,0.17,0.31,0.42
12,"Conners, Corey",220,48.2%,31.2%,17.0%,0.37,2,0.61,-0.5,0.65,0.55,-0.09,0.22,0.81
13,"Im, Sungjae",235,45.7%,29.9%,15.8%,0.37,2,0.49,0.5,-0.04,0.08,-0.05,0.18,0.69
14,"Echavarria, Nico",550,21.2%,15.4%,5.9%,0.32,1,-0.27,0.07,-0.25,0.04,-0.18,-0.1,0.33
15,"Hovland, Viktor",118,69.2%,45.9%,23.3%,0.28,3,1.57,0.36,0.86,0.74,-0.39,0.56,0.02
16,"Pendrith, Taylor",390,27.2%,20.4%,6.8%,0.27,1.5,0.4,0.15,0.15,-0.01,-0.08,0.16,-0.62
17,"Kim, Michael",440,24.4%,18.5%,5.9%,0.26,1,0.22,-0.09,0.67,-0.52,-0.19,0.08,0.41
18,"Smotherman, Austin",390,26.2%,20.4%,5.8%,0.23,1.5,-0.32,-0.69,0.39,0.01,-0.43,-0.11,0.15
19,"Thomas, Justin",146,54.8%,40.7%,14.2%,0.21,2.5,1.15,0.25,0.13,0.41,0.35,0.48,-0.08
20,"Higgo, Garrick",890,12.1%,10.1%,2.0%,0.18,1,-0.27,-0.21,-0.13,0.12,-0.16,-0.07,-1.34
