Rank,Player,Odds,Model Prob,Market Prob,Edge,EV,SG L12,SG L24,SG L100,SG Putt,SG App,SG OTT,SG ARG,Form,Birdie Rate,Bogey Rate,GIR,Consistency
1,"Scheffler, Scottie",-525,86.4%,84.0%,2.4%,0.00,3.26,2.53,2.41,0.31,0.94,0.67,0.61,0.73,4.29,2.25,0.65,1.12
2,"Hovland, Viktor",118,69.2%,45.9%,23.3%,0.28,1.59,1.57,1.55,0.36,0.86,0.74,-0.39,0.02,4.04,2.79,0.61,0.56
3,"Young, Cameron",-138,63.6%,58.0%,5.6%,0.04,1.18,1.53,0.85,-0.09,0.77,0.92,-0.07,-0.35,4.33,2.25,0.62,0.56
4,"Homa, Max",305,58.3%,24.7%,33.6%,1.02,1.51,1.82,1.07,0.77,0.78,0.26,0.01,-0.31,3.88,2.33,0.61,0.85
5,"Cantlay, Patrick",-108,56.6%,51.9%,4.7%,0.04,0.83,1.47,1.39,0.24,0.18,0.7,0.34,-0.64,4.33,2.71,0.62,0.58
6,"Thomas, Justin",146,54.8%,40.7%,14.2%,0.21,1.07,1.15,1.36,0.25,0.13,0.41,0.35,-0.08,4.29,2.5,0.61,0.48
7,"Clark, Wyndham",290,50.5%,25.6%,24.9%,0.72,1.17,1.12,0.8,0.53,0.68,0.05,-0.14,0.05,4.33,2.29,0.65,0.38
8,"Schauffele, Xander",-160,49.4%,61.5%,-12.1%,-0.08,0.91,1.09,1.67,0.29,0.45,0.26,0.09,-0.18,3.88,2.29,0.62,0.41
9,"Conners, Corey",220,48.2%,31.2%,17.0%,0.37,1.43,0.61,0.63,-0.5,0.65,0.55,-0.09,0.81,3.75,2.79,0.66,0.22
10,"Bradley, Keegan",230,47.6%,30.3%,17.3%,0.40,1.26,0.84,0.9,0.07,0.22,0.38,0.17,0.42,3.75,3.08,0.61,0.31
11,"Finau, Tony",405,47.1%,19.8%,27.3%,1.11,1.11,0.61,1.09,-0.22,0.91,0.18,-0.26,0.5,3.83,2.54,0.65,0.27
12,"Lowry, Shane",156,46.9%,39.1%,7.8%,0.12,1.22,1.23,0.86,0.56,0.12,0.05,0.39,-0.02,4,2.58,0.63,0.46
13,"Morikawa, Collin",-118,46.5%,54.1%,-7.6%,-0.06,0.61,1.07,0.92,-0.04,0.64,0.33,0.15,-0.45,4.17,2.12,0.63,0.31
14,"Im, Sungjae",235,45.7%,29.9%,15.8%,0.37,1.18,0.49,0.68,0.5,-0.04,0.08,-0.05,0.69,3.62,2.71,0.58,0.18
15,"English, Harris",168,43.4%,37.3%,6.1%,0.10,1.87,0.8,0.39,0.86,-0.09,-0.2,0.22,1.06,3.71,1.96,0.66,0.27
16,"Spieth, Jordan",108,43.2%,48.1%,-4.8%,-0.05,0.37,0.43,0.59,-0.11,0.29,-0.16,0.41,-0.06,4,2.79,0.6,0.13
17,"Aberg, Ludvig",-120,43.2%,54.5%,-11.4%,-0.09,0.69,0.57,1.09,0.46,-0.1,0.23,-0.1,0.12,3.75,2.46,0.65,0.25
18,"MacIntyre, Robert",108,43.1%,48.1%,-5.0%,-0.05,0.57,1.26,0.39,0.48,0.51,0.14,0.13,-0.69,4.12,2.04,0.67,0.51
19,"Henley, Russell",-150,42.8%,60.0%,-17.2%,-0.11,1.34,1,1.01,0.31,0.28,-0.03,0.44,0.34,3.46,2.42,0.6,0.52
20,"Bhatia, Akshay",176,40.4%,36.2%,4.2%,0.07,0.52,0.76,0.97,-0.01,0.65,0.07,-0.11,-0.23,4.25,1.54,0.74,0.28
21,"Burns, Sam",124,40.2%,44.6%,-4.5%,-0.06,0.75,-0.03,0.62,0.61,-0.34,-0.08,-0.23,0.78,3.75,2.79,0.57,-0.01
22,"Day, Jason",152,38.5%,39.7%,-1.2%,-0.02,0.87,0.69,0.63,0.3,-0.21,0.04,0.47,0.18,3.96,2.67,0.61,0.24
23,"Hoge, Tom",980,38.4%,9.3%,29.2%,2.86,0.78,0.81,0.7,0.25,0.84,0.12,-0.41,-0.03,3.92,2.42,0.6,0.31
24,"Woodland, Gary",345,37.6%,22.5%,15.2%,0.52,0.97,0.56,0.15,-0.34,0.6,0.57,-0.26,0.41,3.62,2.46,0.67,0.21
25,"Fitzpatrick, Matt",-146,35.6%,59.3%,-23.7%,-0.16,0.89,0.12,0.9,0.05,-0.2,0.35,-0.08,0.77,2.71,2.62,0.6,0.05
26,"Theegala, Sahith",210,35.6%,32.3%,3.3%,0.07,0.96,0.61,0.92,0.22,-0.16,0.13,0.41,0.35,3.83,2.71,0.59,0.25
27,"Fox, Ryan",520,34.7%,16.1%,18.6%,0.97,1.26,0.99,0.24,0.34,0.35,0.1,0.21,0.27,4.29,2.29,0.68,0.47
28,"Griffin, Ben",158,33.9%,38.8%,-4.9%,-0.08,0.26,0.56,0.84,0.26,-0.26,0.07,0.31,-0.3,3.42,1.92,0.66,0.21
29,"Stevens, Sam",205,33.6%,32.8%,0.8%,0.02,0.54,0.22,0.75,0.4,-0.24,0.09,0.22,0.32,4.25,2.38,0.69,0.09
30,"Kitayama, Kurt",235,31.7%,29.9%,1.9%,0.04,0.03,-0.21,0.66,0,0.03,-0.22,-0.02,0.24,3.42,2.38,0.64,-0.07
31,"Hall, Harry",220,31.7%,31.2%,0.5%,0.01,1.02,0.29,0.4,0.95,-0.01,-0.42,-0.11,0.73,4.54,2.92,0.67,0.09
32,"Taylor, Nick",215,31.6%,31.7%,-0.1%,-0.00,0.36,0.89,0.62,0.33,0.45,-0.09,0.19,-0.53,3.75,2.17,0.6,0.36
33,"Fleetwood, Tommy",-138,31.2%,58.0%,-26.8%,-0.19,-0.05,0.47,1.04,0.4,-0.12,-0.02,0.21,-0.52,4.04,2.88,0.59,0.18
34,"Vegas, Jhonattan",920,28.7%,9.8%,18.9%,1.74,0.01,0.26,0.58,-0.71,0.43,0.62,0.03,-0.25,3.46,2.62,0.67,0.12
35,"Horschel, Billy",465,28.6%,17.7%,10.9%,0.51,0.63,0.36,0.36,-0.1,-0.12,0.14,0.43,0.28,3.88,2.71,0.66,0.17
36,"Pendrith, Taylor",390,27.2%,20.4%,6.8%,0.27,-0.22,0.4,0.95,0.15,0.15,-0.01,-0.08,-0.62,4,2.75,0.67,0.16
37,"Kim, Si Woo",-104,26.3%,51.0%,-24.7%,-0.24,0.51,-0.08,0.59,-0.71,0.32,0.55,-0.25,0.59,3.08,2.79,0.62,-0.03
38,"Smotherman, Austin",390,26.2%,20.4%,5.8%,0.23,-0.17,-0.32,0.2,-0.69,0.39,0.01,-0.43,0.15,3,2.58,0.7,-0.11
39,"Fowler, Rickie",172,25.5%,36.8%,-11.2%,-0.19,0.26,0.28,0.77,-0.08,0.39,-0.09,0.05,-0.02,3.25,2.75,0.58,0.15
40,"McNealy, Maverick",126,25.0%,44.2%,-19.3%,-0.24,0.45,0.85,0.97,0.87,-0.04,0.03,-0.06,-0.4,4.25,2.58,0.65,0.5
41,"Kim, Michael",440,24.4%,18.5%,5.9%,0.26,0.63,0.22,0.53,-0.09,0.67,-0.52,-0.19,0.41,3.79,2.17,0.7,0.08
42,"Spaun, J.J.",162,23.0%,38.2%,-15.2%,-0.25,-0.78,-0.02,0.57,-0.05,-0.22,-0.08,0.33,-0.76,3.33,2.5,0.63,-0.01
43,"McCarthy, Denny",325,23.0%,23.5%,-0.6%,-0.02,0.1,0,0.89,0.69,-0.33,-0.42,0.06,0.1,3.62,2.75,0.56,0
44,"Noren, Alex",174,22.8%,36.5%,-13.7%,-0.24,-0.22,0.36,0.89,-0.02,0.14,-0.13,0.26,-0.58,3.04,2.17,0.66,0.15
45,"Lipsky, David",690,21.3%,12.7%,8.6%,0.60,-0.52,-0.28,0.05,-0.19,0.51,-0.75,0.17,-0.24,3.54,3.12,0.63,-0.09
46,"Echavarria, Nico",550,21.2%,15.4%,5.9%,0.32,0.06,-0.27,0.03,0.07,-0.25,0.04,-0.18,0.33,3.83,2.5,0.68,-0.1
47,"Rodgers, Patrick",510,19.1%,16.4%,2.8%,0.14,0.06,-0.36,0.49,0.09,-0.3,-0.21,0.18,0.42,3,2.75,0.6,-0.17
48,"Poston, J.T.",220,18.1%,31.2%,-13.1%,-0.29,-0.4,0.47,0.68,-0.08,0.11,0.19,0.25,-0.87,4,2.67,0.65,0.19
49,"Putnam, Andrew",330,17.7%,23.3%,-5.5%,-0.18,0.24,0.12,0.61,0.23,0.33,-0.73,0.3,0.12,3.17,2.75,0.62,0.07
50,"Novak, Andrew",320,16.7%,23.8%,-7.1%,-0.23,0.26,-0.18,0.36,-0.43,0.44,-0.12,0.27,0.44,3.79,2.29,0.72,-0.07
51,"Harman, Brian",198,14.8%,33.6%,-18.7%,-0.37,-1.14,-0.19,0.68,0.31,-0.45,-0.16,0.11,-0.95,3.58,2.42,0.62,-0.07
52,"Schenk, Adam",1750,13.8%,5.4%,8.4%,1.48,-0.32,-0.66,0.08,-0.15,-0.44,-0.46,0.37,0.35,2.96,3.08,0.6,-0.31
53,"Straka, Sepp",144,13.6%,41.0%,-27.4%,-0.39,-0.86,-0.71,-0.14,0.3,-0.43,-0.12,-0.46,-0.14,3.5,2.96,0.6,-0.24
54,"Gotterup, Chris",164,12.5%,37.9%,-25.3%,-0.42,-1.49,-0.6,-0.05,-0.77,-0.32,0.55,-0.06,-0.89,3.54,2.71,0.69,-0.18
55,"Higgo, Garrick",890,12.1%,10.1%,2.0%,0.18,-1.61,-0.27,-0.11,-0.21,-0.13,0.12,-0.16,-1.34,3.67,2.71,0.66,-0.07
56,"Glover, Lucas",660,10.1%,13.2%,-3.1%,-0.20,-1.33,-0.41,0.43,-0.5,0.15,-0.01,-0.04,-0.92,3.12,2.83,0.64,-0.16
57,"Lee, Min Woo",160,9.8%,38.5%,-28.7%,-0.46,-2.46,-1.39,0.35,-0.66,-0.58,-0.1,-0.36,-1.07,3.71,3.58,0.61,-0.43
58,"Wallace, Matt",335,3.9%,23.0%,-19.1%,-0.64,-1.66,-1.27,-0.22,-0.4,0.02,-0.82,-0.11,-0.39,2.83,3.21,0.65,-0.49
59,"Cauley, Bud",335,NA%,23.0%,NA%,NA,0.3,0.57,0.57,0.28,-0.4,0.26,0.43,-0.27,3.92,1.71,0.68,0.25
59,"Berger, Daniel",220,NA%,31.2%,NA%,NA,0.88,0.32,0.32,-0.15,0.02,0.53,0.22,0.56,4.62,2.71,0.69,0.11
59,"Smith, Jordan",355,NA%,22.0%,NA%,NA,0.78,0.8,0.8,-0.12,0.64,0.51,-0.23,-0.02,3.33,3,0.69,0.32
59,"Knapp, Jake",128,NA%,43.9%,NA%,NA,-1.98,-0.48,-0.48,-0.1,-0.33,-0.36,0.25,-1.5,4,2.75,0.66,-0.12
59,"Hisatsune, Ryo",225,NA%,30.8%,NA%,NA,0.3,0.48,0.48,0.72,0.01,-0.05,-0.55,-0.19,3.83,1.88,0.73,0.25
59,"Hojgaard, Nicolai",230,NA%,30.3%,NA%,NA,-1,-0.06,-0.06,-0.17,0.55,0.02,-0.3,-0.95,3.5,2.75,0.67,-0.02
59,"Valimaki, Sami",485,NA%,17.1%,NA%,NA,-1.4,-1.21,-1.21,0.04,-0.73,0.11,-0.62,-0.19,3.33,2.92,0.61,-0.43
59,"Thorbjornsen, Michael",220,NA%,31.2%,NA%,NA,0.03,0.18,0.18,0.04,0.13,-0.23,-0.06,-0.15,4.54,2.33,0.71,0.05
59,"Coody, Pierceson",380,NA%,20.8%,NA%,NA,0.82,0.34,0.34,0.39,-0.9,0.59,-0.36,0.48,3.96,2.79,0.66,0.12
59,"Highsmith, Joe",1650,NA%,5.7%,NA%,NA,-0.29,0.05,0.05,-0.09,0.06,-0.14,0.12,-0.34,4.38,2.38,0.68,0.01
59,"Bridgeman, Jacob",142,NA%,41.3%,NA%,NA,1.09,0.75,0.75,0.1,0.09,0,0.35,0.35,4.17,1.83,0.7,0.28
59,"Gerard, Ryan",196,NA%,33.8%,NA%,NA,-0.1,-0.15,-0.15,-0.53,-0.09,-0.12,0.2,0.05,3.96,2.92,0.61,-0.07
