Rank,Player,Model Prob,DFS Value,Odds,SG L24,SG Putt,SG App,SG OTT,Birdie Rate,Consistency,Form,GIR
1,"Hoge, Tom",38.4%,0.377,980,0.81,0.25,0.84,0.12,3.92,0.31,-0.03,0.6
2,"Vegas, Jhonattan",28.7%,0.264,920,0.26,-0.71,0.43,0.62,3.46,0.12,-0.25,0.67
3,"Schenk, Adam",13.8%,0.242,1750,-0.66,-0.15,-0.44,-0.46,2.96,-0.31,0.35,0.6
4,"Finau, Tony",47.1%,0.191,405,0.61,-0.22,0.91,0.18,3.83,0.27,0.5,0.65
5,"Fox, Ryan",34.7%,0.181,520,0.99,0.34,0.35,0.1,4.29,0.47,0.27,0.68
6,"Homa, Max",58.3%,0.178,305,1.82,0.77,0.78,0.26,3.88,0.85,-0.31,0.61
7,"Lipsky, David",21.3%,0.147,690,-0.28,-0.19,0.51,-0.75,3.54,-0.09,-0.24,0.63
8,"Clark, Wyndham",50.5%,0.147,290,1.12,0.53,0.68,0.05,4.33,0.38,0.05,0.65
9,"Horschel, Billy",28.6%,0.133,465,0.36,-0.1,-0.12,0.14,3.88,0.17,0.28,0.66
10,"Woodland, Gary",37.6%,0.13,345,0.56,-0.34,0.6,0.57,3.62,0.21,0.41,0.67
11,"Echavarria, Nico",21.2%,0.117,550,-0.27,0.07,-0.25,0.04,3.83,-0.1,0.33,0.68
12,"Bradley, Keegan",47.6%,0.11,230,0.84,0.07,0.22,0.38,3.75,0.31,0.42,0.61
13,"Higgo, Garrick",12.1%,0.108,890,-0.27,-0.21,-0.13,0.12,3.67,-0.07,-1.34,0.66
14,"Kim, Michael",24.4%,0.107,440,0.22,-0.09,0.67,-0.52,3.79,0.08,0.41,0.7
15,"Im, Sungjae",45.7%,0.107,235,0.49,0.5,-0.04,0.08,3.62,0.18,0.69,0.58
16,"Pendrith, Taylor",27.2%,0.106,390,0.4,0.15,0.15,-0.01,4,0.16,-0.62,0.67
17,"Conners, Corey",48.2%,0.106,220,0.61,-0.5,0.65,0.55,3.75,0.22,0.81,0.66
18,"Smotherman, Austin",26.2%,0.102,390,-0.32,-0.69,0.39,0.01,3,-0.11,0.15,0.7
19,"Rodgers, Patrick",19.1%,0.098,510,-0.36,0.09,-0.3,-0.21,3,-0.17,0.42,0.6
20,"Scheffler, Scottie",86.4%,0.086,-525,2.53,0.31,0.94,0.67,4.29,1.12,0.73,0.65
21,"Hovland, Viktor",69.2%,0.082,118,1.57,0.36,0.86,0.74,4.04,0.56,0.02,0.61
22,"Thomas, Justin",54.8%,0.08,146,1.15,0.25,0.13,0.41,4.29,0.48,-0.08,0.61
23,"Theegala, Sahith",35.6%,0.075,210,0.61,0.22,-0.16,0.13,3.83,0.25,0.35,0.59
24,"Kitayama, Kurt",31.7%,0.075,235,-0.21,0,0.03,-0.22,3.42,-0.07,0.24,0.64
25,"McCarthy, Denny",23.0%,0.075,325,0,0.69,-0.33,-0.42,3.62,0,0.1,0.56
26,"Lowry, Shane",46.9%,0.073,156,1.23,0.56,0.12,0.05,4,0.46,-0.02,0.63
27,"English, Harris",43.4%,0.073,168,0.8,0.86,-0.09,-0.2,3.71,0.27,1.06,0.66
28,"Bhatia, Akshay",40.4%,0.071,176,0.76,-0.01,0.65,0.07,4.25,0.28,-0.23,0.74
29,"Hall, Harry",31.7%,0.07,220,0.29,0.95,-0.01,-0.42,4.54,0.09,0.73,0.67
30,"Stevens, Sam",33.6%,0.069,205,0.22,0.4,-0.24,0.09,4.25,0.09,0.32,0.69
