Player,Round,Event,SG Total,SG Putt,SG App,SG OTT,SG ARG,Score,Birdies,Bogeys,GIR
"Hoge, Tom",1,9,0.16,0.47,0.22,-0.67,0.14,73,3,2,0.44
"Hoge, Tom",2,9,-1.52,-3.77,2.49,0.27,-0.5,77,1,6,0.61
"Hoge, Tom",3,9,3.57,-1.13,4.13,0.83,-0.27,69,4,1,0.72
"Hoge, Tom",4,9,5.07,2.39,1.57,0.91,0.2,69,5,2,0.39
"Hoge, Tom",5,9,1.26,-0.54,0.57,0.92,0.32,71,3,2,0.61
"Hoge, Tom",6,9,-0.5,-0.36,1.09,-1.56,0.3,74,6,1,0.67
"Hoge, Tom",7,9,5.34,2.76,0.48,1.01,1.09,69,4,1,0.5
"Hoge, Tom",8,9,-0.49,-3.56,3.24,-0.34,0.16,72,3,3,0.78
"Hoge, Tom",9,9,-0.82,2.77,-2.6,-0.58,-0.41,73,5,6,0.5
"Hoge, Tom",10,9,-5.71,-0.61,-3.07,1.12,-3.16,78,2,2,0.56
"Hoge, Tom",11,7,3.47,0.34,1.89,0.11,1.13,67,5,1,0.72
"Hoge, Tom",12,7,-0.52,-0.11,0.05,-0.54,0.08,71,2,2,0.5
"Vegas, Jhonattan",1,7,-2.52,-3.73,-1.08,1.02,1.27,73,2,4,0.61
"Vegas, Jhonattan",2,7,-1.15,-2.53,0.8,0.99,-0.41,72,2,3,0.67
"Vegas, Jhonattan",3,7,-2.69,-1.83,-0.77,1.2,-1.29,73,2,4,0.5
"Vegas, Jhonattan",4,7,1.28,-0.61,1.94,-0.56,0.51,68,2,3,0.61
"Vegas, Jhonattan",5,7,-0.16,-1.75,2.27,0.47,-1.16,72,2,3,0.72
"Vegas, Jhonattan",6,7,-1.52,-0.88,0.89,-0.85,-0.68,72,2,3,0.78
"Vegas, Jhonattan",7,7,4.02,0.37,2.23,0.55,0.87,67,7,3,0.61
"Vegas, Jhonattan",8,7,1,-0.54,0.25,1.12,0.11,70,5,2,0.61
"Vegas, Jhonattan",9,6,-2.65,-2.82,-1.89,1.17,0.89,71,2,3,0.67
"Vegas, Jhonattan",10,6,0.97,-0.82,1.15,0.58,0.07,69,2,1,0.78
"Vegas, Jhonattan",11,54,3.02,1.66,-0.57,0.85,1.07,66,8,2,0.67
"Vegas, Jhonattan",12,54,0.5,0.32,-0.47,0.59,0.05,69,4,1,0.78
"Schenk, Adam",1,9,-0.07,-0.21,-2.8,-1.26,4.2,72,4,4,0.44
"Schenk, Adam",2,9,0.48,-0.74,-0.67,-0.87,2.76,75,1,6,0.39
"Schenk, Adam",3,9,0.83,-0.03,1.85,-0.85,-0.14,72,2,2,0.67
"Schenk, Adam",4,9,-1.94,1,0.02,-1.82,-1.13,76,3,5,0.56
"Schenk, Adam",5,9,-3.74,-1.54,-2.75,0.56,-0.01,76,2,4,0.5
"Schenk, Adam",6,9,-1.5,-0.9,-0.88,0.34,-0.09,75,1,2,0.61
"Schenk, Adam",7,9,0.34,-2.01,0.48,0.2,1.67,74,1,3,0.56
"Schenk, Adam",8,9,-0.49,0.54,0.25,-0.61,-0.67,72,4,4,0.61
"Schenk, Adam",9,9,4.18,3.51,1.75,-1,-0.07,68,6,2,0.72
"Schenk, Adam",10,9,2.29,-1.32,0.17,1.78,1.67,70,4,2,0.72
"Schenk, Adam",11,7,-2.52,-0.52,-0.71,-2.27,0.98,73,2,2,0.5
"Schenk, Adam",12,7,-1.69,-0.44,-0.29,-0.52,-0.44,72,3,4,0.5
"Finau, Tony",1,9,-1.07,-2.24,1.41,0.11,-0.35,73,3,4,0.61
"Finau, Tony",2,9,1.83,-0.27,0.79,0.78,0.53,71,4,3,0.78
"Finau, Tony",3,9,1.5,-0.21,1.52,0.95,-0.79,72,1,1,0.67
"Finau, Tony",4,9,2.18,1.37,1.78,-0.16,-0.81,70,5,3,0.61
"Finau, Tony",5,7,-0.53,-0.66,0.4,0.29,-0.56,71,3,3,0.56
"Finau, Tony",6,7,3.48,1.85,0.32,0.62,0.69,67,4,0,0.61
"Finau, Tony",7,7,2.85,0.34,3.46,0.58,-1.52,68,3,2,0.78
"Finau, Tony",8,7,-0.78,-2.44,1.15,0.05,0.46,70,4,3,0.72
"Finau, Tony",9,7,-0.69,0.21,-0.82,0.01,-0.1,71,2,2,0.39
"Finau, Tony",10,7,-1.72,-1.26,0.6,-0.94,-0.12,71,4,4,0.5
"Finau, Tony",11,7,3.46,1.51,0.3,1.42,0.2,67,6,2,0.56
"Finau, Tony",12,7,2.84,1.45,2.32,-0.68,-0.24,69,5,1,0.72
"Homa, Max",1,9,0.16,0.26,1.69,-1.61,-0.19,73,3,2,0.72
"Homa, Max",2,9,-0.07,-1.98,1.74,0.14,0.02,72,3,3,0.67
"Homa, Max",3,9,1.48,-1.21,2.89,-0.07,-0.13,74,0,2,0.78
"Homa, Max",4,9,1.57,1.3,0.36,-0.21,0.12,71,3,2,0.5
"Homa, Max",5,9,1.83,-1.32,2.35,0.43,0.37,71,3,4,0.67
"Homa, Max",6,9,1.06,0.28,0.31,0.84,-0.36,73,3,4,0.56
"Homa, Max",7,9,3.26,1.85,-0.08,0.29,1.2,69,5,2,0.56
"Homa, Max",8,9,2.5,-0.8,3.41,0.84,-0.98,71,3,2,0.83
"Homa, Max",9,9,0.34,-1.77,0.42,1.25,0.44,74,4,6,0.5
"Homa, Max",10,9,0.51,2.05,-1.97,0.32,0.11,71,2,1,0.5
"Homa, Max",11,9,2.18,1.19,0.4,1.78,-1.19,70,3,1,0.67
"Homa, Max",12,9,3.29,0.98,2.08,-0.4,0.63,69,5,0,0.89
"Fox, Ryan",1,9,4.93,2.54,-0.06,0.91,1.54,67,6,1,0.72
"Fox, Ryan",2,9,1.83,0.64,-0.78,0.31,1.66,71,4,3,0.56
"Fox, Ryan",3,9,0.5,0.17,1.31,-0.54,-0.47,73,3,2,0.72
"Fox, Ryan",4,9,-0.82,-1.3,1.5,-0.8,-0.21,73,4,5,0.61
"Fox, Ryan",5,554,-0.67,-0.27,-1.09,-0.7,1.39,70,3,0,0.67
"Fox, Ryan",6,554,0.52,1.29,-2.13,0.67,0.7,68,5,2,0.72
"Fox, Ryan",7,554,-2.67,0.48,-2.14,-0.32,-0.69,72,5,2,0.61
"Fox, Ryan",8,554,3.94,0.77,1.48,1.65,0.04,65,6,2,0.83
"Fox, Ryan",9,54,0.01,-0.97,0.8,1.39,-1.21,69,4,1,0.83
"Fox, Ryan",10,54,1.5,1.29,0.43,0.6,-0.81,68,5,1,0.67
"Fox, Ryan",11,54,3.84,2.66,0.59,1.63,-1.04,66,7,1,0.78
"Fox, Ryan",12,54,2.17,1.03,2.12,-0.37,-0.61,67,7,2,0.78
"Clark, Wyndham",1,9,3.15,0.15,1.81,0.82,0.37,70,5,3,0.72
"Clark, Wyndham",2,9,1.93,0.95,1.28,-1.24,0.94,70,5,1,0.61
"Clark, Wyndham",3,9,1.57,0.67,1.84,1.05,-2,71,4,1,0.67
"Clark, Wyndham",4,9,-3.17,1,-0.86,-2.87,-0.43,76,3,2,0.56
"Clark, Wyndham",5,9,6.26,4.54,0.33,0.8,0.59,66,9,3,0.61
"Clark, Wyndham",6,9,1.5,-0.79,3.44,-0.47,-0.7,72,2,2,0.61
"Clark, Wyndham",7,9,0.51,-0.47,-1.13,1.23,0.88,71,3,2,0.67
"Clark, Wyndham",8,9,2.18,-0.65,2.98,0.91,-1.06,70,5,3,0.83
"Clark, Wyndham",9,7,0.48,-1.44,0.81,0.33,0.78,70,3,2,0.56
"Clark, Wyndham",10,7,2.31,1.39,2.07,-0.04,-1.12,68,5,2,0.72
"Clark, Wyndham",11,7,-2.54,-1.72,-0.18,-0.17,-0.5,73,2,4,0.67
"Clark, Wyndham",12,7,-0.16,-0.01,-0.85,1.36,-0.65,72,5,6,0.61
"Lipsky, David",1,9,-6.07,-3.59,0.09,-2.41,-0.16,78,1,5,0.61
"Lipsky, David",2,9,3.48,1.26,2.05,-0.41,0.58,72,2,2,0.61
"Lipsky, David",3,9,3.83,0.64,1.19,0.94,1.06,69,5,2,0.78
"Lipsky, David",4,9,-3.94,1.16,-0.3,-4.27,-0.52,78,1,7,0.33
"Lipsky, David",5,9,0.5,0.18,1.59,-0.71,-0.59,73,3,4,0.61
"Lipsky, David",6,9,3.34,-0.06,2.92,-0.2,0.69,71,4,3,0.67
"Lipsky, David",7,9,0.18,-0.03,2.45,-2.92,0.69,72,5,1,0.67
"Lipsky, David",8,9,1.29,2.37,-0.69,0.46,-0.85,71,6,3,0.5
"Lipsky, David",9,7,-4.52,-1.09,-2.29,-0.05,-1.08,75,5,6,0.5
"Lipsky, David",10,7,-3.69,-1.86,-0.17,-0.52,-1.14,74,0,3,0.67
"Lipsky, David",11,7,0.84,-1.47,0.14,-0.01,2.18,71,3,3,0.5
"Lipsky, David",12,7,-1.52,-2.03,-0.52,0.2,0.82,72,2,3,0.72
"Woodland, Gary",1,9,2.48,0.99,2.02,-0.06,-0.47,73,2,3,0.67
"Woodland, Gary",2,9,4.07,1.31,1.8,0.08,0.88,70,3,3,0.61
"Woodland, Gary",3,9,-0.5,0.96,-1.46,0,-0.03,74,2,0,0.44
"Woodland, Gary",4,9,2.34,0.99,1.12,-0.76,0.99,72,5,5,0.5
"Woodland, Gary",5,9,-2.82,-1.84,-1.84,1.9,-1.04,75,0,1,0.61
"Woodland, Gary",6,9,2.29,2.97,-1.08,0.93,-0.53,70,2,0,0.67
"Woodland, Gary",7,7,-0.53,1.86,-1.11,-0.48,-0.8,71,5,3,0.44
"Woodland, Gary",8,7,-0.52,-2.28,0.41,0.91,0.44,71,4,4,0.61
"Woodland, Gary",9,7,-0.78,-0.11,0.18,0.07,-0.92,70,5,2,0.67
"Woodland, Gary",10,7,3.31,0.55,3.38,0.8,-1.41,67,4,2,0.78
"Woodland, Gary",11,7,-1.54,-2.16,-1.74,1.48,0.84,72,2,3,0.56
"Woodland, Gary",12,7,3.84,1.47,2.21,0.5,-0.34,68,6,3,0.67
"Horschel, Billy",1,9,0.48,-0.36,0.54,-0.32,0.62,75,3,4,0.5
"Horschel, Billy",2,9,3.06,1,1.15,0.1,0.82,71,4,3,0.61
"Horschel, Billy",3,9,-1.5,-1.24,1.71,-1.6,-0.41,75,2,5,0.61
"Horschel, Billy",4,9,3.34,0.4,0.95,0.69,1.3,71,6,3,0.72
"Horschel, Billy",5,9,-0.82,-1.01,0.44,1.23,-1.49,73,2,3,0.61
"Horschel, Billy",6,9,5.29,3.56,2.29,0.51,-1.07,67,5,2,0.61
"Horschel, Billy",7,7,-1.16,-3.78,0.85,0.33,1.44,73,4,6,0.61
"Horschel, Billy",8,7,-2.98,-0.88,-2.28,0.13,0.05,74,1,4,0.39
"Horschel, Billy",9,6,2.9,3.43,-0.22,0.52,-0.84,65,7,2,0.78
"Horschel, Billy",10,6,-0.05,-0.85,-0.21,1.05,-0.03,67,5,2,0.83
"Horschel, Billy",11,6,0.52,-0.13,0.25,0.28,0.13,68,4,2,0.78
"Horschel, Billy",12,6,-1.52,-0.63,-2.19,0.38,0.91,70,2,0,0.78
"Bradley, Keegan",1,9,-0.84,1.54,-0.98,-1.85,0.44,74,4,3,0.5
"Bradley, Keegan",2,9,4.93,1.01,1.76,1.8,0.36,67,6,1,0.67
"Bradley, Keegan",3,9,3.48,0.44,0.39,1.82,0.83,72,3,3,0.44
"Bradley, Keegan",4,9,2.57,-0.24,0.84,0.16,1.8,70,4,2,0.56
"Bradley, Keegan",5,9,1.83,0.84,0.29,1.35,-0.65,71,4,3,0.67
"Bradley, Keegan",6,9,4.07,0.98,1.45,0.75,0.89,70,5,3,0.61
"Bradley, Keegan",7,9,-2.74,0.13,-1.65,-0.18,-1.04,75,0,3,0.67
"Bradley, Keegan",8,9,-3.5,-2.38,-0.21,-0.4,-0.53,77,2,7,0.5
"Bradley, Keegan",9,9,-0.66,1.01,-3.02,1.38,-0.03,75,2,5,0.39
"Bradley, Keegan",10,9,0.51,0.54,0.07,0.75,-0.85,71,6,1,0.72
"Bradley, Keegan",11,9,4.18,2.57,0.78,1.28,-0.45,68,7,3,0.67
"Bradley, Keegan",12,9,1.29,1.23,0.91,-0.97,0.12,71,5,4,0.56
"Conners, Corey",1,9,-0.84,-1.68,-0.19,0.7,0.33,74,2,4,0.61
"Conners, Corey",2,9,-0.07,-1.56,0.4,1.24,-0.15,72,5,3,0.5
"Conners, Corey",3,9,1.48,-3.42,2.32,1.11,1.47,74,1,3,0.83
"Conners, Corey",4,9,1.57,0.27,3.05,-1.31,-0.44,71,2,1,0.67
"Conners, Corey",5,9,-2.17,0.28,-1.05,0.49,-1.88,75,3,6,0.44
"Conners, Corey",6,9,5.07,1.66,1.28,1.57,0.56,69,5,2,0.67
"Conners, Corey",7,9,1.26,-0.86,2.95,-0.14,-0.69,71,5,2,0.67
"Conners, Corey",8,9,7.5,2.15,3.24,1.37,0.71,66,7,1,0.72
"Conners, Corey",9,9,1.34,0.55,-0.1,1,-0.11,73,3,2,0.67
"Conners, Corey",10,9,1.51,0.55,0.22,0.52,0.22,70,5,1,0.72
"Conners, Corey",11,9,0.18,-0.76,0.86,0.27,-0.19,72,5,5,0.56
"Conners, Corey",12,9,0.29,-1.88,0.33,-0.01,1.84,72,3,3,0.67
"Im, Sungjae",1,9,-0.84,-1.72,0.48,0.11,0.29,74,3,5,0.56
"Im, Sungjae",2,9,0.93,2.52,-0.58,-0.01,-1.01,71,5,2,0.67
"Im, Sungjae",3,9,-0.52,1.09,-1.12,1.02,-1.51,76,2,4,0.5
"Im, Sungjae",4,9,1.57,1.63,-0.31,0.32,-0.07,71,2,1,0.44
"Im, Sungjae",5,9,0.83,0.76,-1.85,0.43,1.5,72,4,2,0.5
"Im, Sungjae",6,9,4.07,1.88,0.66,1.19,0.34,70,3,1,0.61
"Im, Sungjae",7,9,2.26,0.06,1.65,-0.7,1.26,70,4,2,0.61
"Im, Sungjae",8,9,2.5,-0.96,1.32,0.85,1.25,71,6,5,0.61
"Im, Sungjae",9,9,-2.66,1.89,-0.97,-3.44,-0.14,77,3,6,0.39
"Im, Sungjae",10,9,0.51,0.04,0.04,0.3,0.13,71,5,4,0.72
"Im, Sungjae",11,9,1.18,0.28,0.46,0.66,-0.21,71,3,2,0.5
"Im, Sungjae",12,9,4.29,2.31,1.17,0.59,0.22,68,5,1,0.78
"Echavarria, Nico",1,6,-4.1,-0.54,-3.8,-1.31,1.55,72,1,1,0.39
"Echavarria, Nico",2,6,3.25,2.3,0.59,1.18,-0.8,65,5,0,0.83
"Echavarria, Nico",3,6,0.52,0.59,0.47,-0.02,-0.52,68,4,2,0.83
"Echavarria, Nico",4,6,2.72,3.58,-0.56,0.13,-0.43,65,6,1,0.67
"Echavarria, Nico",5,6,0.35,0.22,-0.72,0.96,-0.11,68,5,3,0.67
"Echavarria, Nico",6,6,0.19,-0.49,0.23,0.27,0.18,69,3,2,0.78
"Echavarria, Nico",7,6,1.97,0.64,0.3,1.15,-0.11,68,5,3,0.89
"Echavarria, Nico",8,6,0.47,0.3,-0.5,1.53,-0.87,69,5,2,0.67
"Echavarria, Nico",9,5,-4.33,,,,,77,2,5,
"Echavarria, Nico",10,5,-4.5,-1.46,-0.76,-0.36,-1.91,77,2,5,0.5
"Echavarria, Nico",11,5,1.85,,,,,68,4,1,
"Echavarria, Nico",12,554,2.33,0.77,0.43,1.54,-0.4,67,5,1,0.83
"Hovland, Viktor",1,9,-1.84,1.33,0.54,-2.17,-1.54,75,4,7,0.44
"Hovland, Viktor",2,9,-3.07,-1.8,-2.08,1.99,-1.18,75,2,3,0.5
"Hovland, Viktor",3,9,1.48,-2.04,2.96,1.59,-1.03,74,3,5,0.61
"Hovland, Viktor",4,9,-2.43,-2.91,0.78,-0.3,0.01,75,1,4,0.61
"Hovland, Viktor",5,9,6.83,0.6,2.13,2.33,1.78,66,6,0,0.89
"Hovland, Viktor",6,9,-0.94,-2.02,-1.75,1.94,0.9,75,1,6,0.5
"Hovland, Viktor",7,9,3.26,-0.57,1.09,2.26,0.48,69,5,2,0.78
"Hovland, Viktor",8,9,2.5,-0.17,2.78,1.11,-1.24,71,1,2,0.67
"Hovland, Viktor",9,9,8.34,5.23,2.81,0.51,-0.22,66,7,1,0.61
"Hovland, Viktor",10,9,0.51,2.81,-0.72,0.15,-1.73,71,5,4,0.61
"Hovland, Viktor",11,9,1.18,2.62,0.84,0.85,-3.12,71,3,4,0.44
"Hovland, Viktor",12,9,3.29,0.91,0.45,0.66,1.27,69,6,3,0.61
"Pendrith, Taylor",1,9,-2.52,-3.06,0.51,0.98,-0.94,78,2,4,0.5
"Pendrith, Taylor",2,9,0.06,-2.48,-0.52,1.23,1.84,74,3,5,0.61
"Pendrith, Taylor",3,9,-0.5,-1.15,-0.14,1.14,-0.37,74,4,6,0.56
"Pendrith, Taylor",4,9,2.34,1.6,-0.77,0.88,0.63,72,5,3,0.61
"Pendrith, Taylor",5,9,-4.82,-0.07,-1.6,-3.19,0.04,77,3,4,0.56
"Pendrith, Taylor",6,9,1.29,1.4,0.12,-0.77,0.54,71,2,5,0.61
"Pendrith, Taylor",7,7,-1.52,0.29,-0.86,1.15,-2.1,72,3,4,0.61
"Pendrith, Taylor",8,7,-2,-0.95,-0.52,-1.34,0.76,73,2,4,0.5
"Pendrith, Taylor",9,6,2.9,1.4,0.34,1.7,-0.54,65,5,0,0.89
"Pendrith, Taylor",10,6,2.52,2.59,1.62,-2.2,0.51,66,4,0,0.72
"Pendrith, Taylor",11,6,1.35,1.5,0.94,-0.64,-0.44,67,5,2,0.78
"Pendrith, Taylor",12,6,-1.77,-0.27,0.45,-1.65,-0.31,70,3,3,0.72
"Kim, Michael",1,6,-0.1,-1.78,2.4,-1.61,0.89,68,6,4,0.72
"Kim, Michael",2,6,2.52,0.95,1.13,0.97,-0.53,66,7,3,0.78
"Kim, Michael",3,6,-0.65,1.62,-0.89,0.34,-1.71,69,4,1,0.72
"Kim, Michael",4,6,-1.81,-0.62,-0.9,0.54,-0.83,71,1,2,0.72
"Kim, Michael",5,6,0.97,3.82,-2.23,-2.05,1.44,69,5,4,0.5
"Kim, Michael",6,6,-2.54,-0.91,-0.97,0.84,-1.5,72,0,4,0.67
"Kim, Michael",7,5,4.85,-0.76,4.65,0.36,0.6,66,6,0,0.89
"Kim, Michael",8,5,2.67,,,,,70,3,1,
"Kim, Michael",9,5,0.5,-0.94,0.16,0.71,0.56,72,3,3,0.56
"Kim, Michael",10,5,1.85,,,,,68,5,2,
"Kim, Michael",11,554,-1.67,-1.81,0.78,-0.17,-0.47,71,4,4,0.72
"Kim, Michael",12,554,0.94,-0.97,2.54,-0.41,-0.23,68,3,0,0.89
"Smotherman, Austin",1,88,3.67,,,,,66,3,1,
"Smotherman, Austin",2,88,-0.11,,,,,71,3,2,
"Smotherman, Austin",3,88,1.61,,,,,68,6,2,
"Smotherman, Austin",4,88,0.21,,,,,75,1,4,
"Smotherman, Austin",5,88,-2.88,,,,,73,2,3,
"Smotherman, Austin",6,88,3.5,,,,,68,3,1,
"Smotherman, Austin",7,88,-0.02,,,,,71,1,2,
"Smotherman, Austin",8,7,-2.16,-0.91,-0.38,0.5,-1.36,74,2,5,0.39
"Smotherman, Austin",9,7,0.02,-1.16,3.2,-1,-1.03,71,1,3,0.61
"Smotherman, Austin",10,6,1.25,-0.54,0.44,1.78,-0.41,67,5,2,0.89
"Smotherman, Austin",11,6,-4.28,-0.37,-3.58,0.2,-0.52,72,3,5,0.44
"Smotherman, Austin",12,6,-2.81,-3.93,1.23,0.47,-0.57,72,0,0,0.78
"Thomas, Justin",1,9,0.16,-0.45,-0.31,1.15,-0.23,73,4,5,0.5
"Thomas, Justin",2,9,-2.07,-1.53,-1.94,0.97,0.43,74,3,5,0.56
"Thomas, Justin",3,9,0.57,1.39,-0.93,0.79,-0.68,72,6,4,0.44
"Thomas, Justin",4,9,0.83,-1.95,1.87,1.27,-0.36,72,1,1,0.72
"Thomas, Justin",5,9,1.26,0.05,2.39,-1.35,0.17,71,3,2,0.56
"Thomas, Justin",6,9,6.5,2.92,1.93,1.64,-0.02,67,8,3,0.67
"Thomas, Justin",7,9,2.51,-0.4,1.45,0.4,1.05,69,4,1,0.72
"Thomas, Justin",8,9,0.18,0.12,0.78,-0.42,-0.29,72,4,2,0.78
"Thomas, Justin",9,7,1.49,1.97,-1.67,-0.55,1.74,69,4,2,0.56
"Thomas, Justin",10,7,0.85,0.49,-0.22,0.7,-0.12,70,2,1,0.61
"Thomas, Justin",11,7,1.31,1.96,0.69,-0.17,-1.18,69,6,2,0.56
"Thomas, Justin",12,7,-0.72,0.75,-1.61,0.68,-0.53,70,3,2,0.56
"Higgo, Garrick",1,9,-1.5,-0.77,-1.58,0.43,0.4,75,2,1,0.61
"Higgo, Garrick",2,9,-1.66,-1.45,0.98,-0.93,-0.25,76,1,5,0.39
"Higgo, Garrick",3,9,0.18,-1.88,-0.43,1.59,0.9,72,3,3,0.56
"Higgo, Garrick",4,9,-5.71,-2.47,-1.14,-0.53,-1.57,78,1,7,0.5
"Higgo, Garrick",5,88,-3.43,,,,,76,2,4,
"Higgo, Garrick",6,88,-0.95,,,,,74,0,4,
"Higgo, Garrick",7,6,-0.1,1.73,-0.51,-1.21,-0.12,68,4,2,0.56
"Higgo, Garrick",8,6,-7.48,-2.18,-3.98,-1.7,0.39,76,3,4,0.44
"Higgo, Garrick",9,6,2.35,3.2,-0.67,-0.73,0.56,66,4,2,0.78
"Higgo, Garrick",10,6,-2.03,-2.52,0.4,0.66,-0.58,72,1,5,0.67
"Higgo, Garrick",11,5,2.85,1.92,0.26,0.27,0.41,68,7,3,0.72
"Higgo, Garrick",12,5,-1.84,-0.48,-0.5,0.32,-1.18,74,2,2,0.67
