player_name,odds,model_prob,market_prob,edge,ev,units,sg_last_24
"Hoge, Tom",1000,0.767,0.091,0.677,6.77,4,1.22
"Pendrith, Taylor",300,0.851,0.25,0.601,1.8,4,1.64
"Clark, Wyndham",345,0.74,0.225,0.515,1.78,4,1.03
"Vegas, Jhonattan",820,0.26,0.109,0.152,1.24,1.5,1.01
"Kim, Michael",445,0.449,0.183,0.265,1.18,2,0.87
"Bhatia, Akshay",172,0.902,0.368,0.534,0.92,4,1.65
"McCarthy, Denny",330,0.416,0.233,0.184,0.61,2,1.26
"Homa, Max",315,0.407,0.241,0.166,0.52,2,0.86
"Noren, Alex",186,0.602,0.35,0.252,0.47,2.5,1.13
"Horschel, Billy",375,0.323,0.211,0.113,0.42,1.5,0.74
"Stevens, Sam",220,0.479,0.312,0.166,0.37,2,0.84
"Hovland, Viktor",136,0.657,0.424,0.233,0.32,3,1.31
"Putnam, Andrew",365,0.295,0.215,0.08,0.29,1.5,0.58
"Poston, J.T.",230,0.428,0.303,0.125,0.29,2,0.94
"Finau, Tony",425,0.257,0.19,0.067,0.28,1.5,0.57
"Hisatsune, Ryo",235,0.405,0.299,0.107,0.25,2,0.65
"Taylor, Nick",215,0.403,0.317,0.085,0.18,2,0.76
"Theegala, Sahith",225,0.375,0.308,0.067,0.15,2,0.92
"Henley, Russell",-152,0.811,0.603,0.208,0.14,4,1.21
"English, Harris",158,0.472,0.388,0.085,0.13,2,0.55
