edge_min,prob_min,ev_min,n_bets,n_wins,staked,pnl,roi,win_rate
0.05,0.2,0.2,429,77,429,26.43,6.16,17.9
0.1,0.2,0,342,60,342,17.99,5.26,17.5
0.1,0.2,0.05,342,60,342,17.99,5.26,17.5
0.1,0.2,0.1,342,60,342,17.99,5.26,17.5
0.05,0.16,0.2,481,82,481,25.13,5.22,17
0.055,0.2,0.2,423,75,423,21.73,5.14,17.7
0.045,0.2,0.2,434,77,434,21.43,4.94,17.7
0.1,0.2,0.15,340,58,340,15.43,4.54,17.1
0.1,0.2,0.2,340,58,340,15.43,4.54,17.1
0.01,0.2,0.2,437,77,437,18.43,4.22,17.6
0.015,0.2,0.2,437,77,437,18.43,4.22,17.6
0.02,0.2,0.2,437,77,437,18.43,4.22,17.6
0.025,0.2,0.2,437,77,437,18.43,4.22,17.6
0.03,0.2,0.2,437,77,437,18.43,4.22,17.6
0.035,0.2,0.2,437,77,437,18.43,4.22,17.6
0.04,0.2,0.2,437,77,437,18.43,4.22,17.6
0.045,0.16,0.2,486,82,486,20.13,4.14,16.9
0.055,0.16,0.2,469,79,469,19.33,4.12,16.8
0.05,0.2,0.15,445,79,445,17.11,3.84,17.8
0.06,0.2,0.2,410,71,410,14.78,3.6,17.3
0.055,0.2,0.15,437,77,437,14.41,3.3,17.6
0.065,0.2,0.2,400,69,400,13.18,3.3,17.2
0.05,0.16,0.15,497,84,497,15.81,3.18,16.9
0.06,0.16,0.2,454,75,454,14.38,3.17,16.5
0.01,0.13,0.2,563,89,563,15.83,2.81,15.8
0.015,0.13,0.2,563,89,563,15.83,2.81,15.8
0.02,0.13,0.2,563,89,563,15.83,2.81,15.8
0.025,0.13,0.2,563,89,563,15.83,2.81,15.8
0.05,0.19,0.2,450,78,450,12.53,2.78,17.3
0.095,0.2,0,356,62,356,9.87,2.77,17.4
0.095,0.2,0.05,356,62,356,9.87,2.77,17.4
0.095,0.2,0.1,356,62,356,9.87,2.77,17.4
0.07,0.2,0.2,393,67,393,10.73,2.73,17
0.05,0.2,0,459,83,459,12.41,2.7,18.1
0.05,0.2,0.05,459,83,459,12.41,2.7,18.1
0.04,0.16,0.2,493,82,493,13.13,2.66,16.6
0.05,0.2,0.1,457,82,457,11.91,2.61,17.9
