prob_min,max_bets,n,wins,pnl,roi,prob_min,max_bets
0.225,5,101,24,78.44,77.66,0.225,5
0.2,5,104,22,63.49,61.05,0.2,5
0.225,6,117,25,69.14,59.09,0.225,6
0.275,5,96,25,53.59,55.82,0.275,5
0.2,6,120,24,59.04,49.2,0.2,6
0.225,8,147,29,68.04,46.29,0.225,8
0.25,5,99,24,43.14,43.58,0.25,5
0.225,10,177,35,71.19,40.22,0.225,10
0.2,8,150,28,59.24,39.49,0.2,8
0.275,6,111,26,43.09,38.82,0.275,6
0.425,5,81,24,31.24,38.57,0.425,5
0.275,8,141,32,49.89,35.38,0.275,8
0.425,6,88,26,30.18,34.3,0.425,6
0.25,6,115,26,39.24,34.12,0.25,6
0.45,5,71,20,22.43,31.59,0.45,5
0.2,10,180,32,54.89,30.49,0.2,10
0.45,6,75,21,21.53,28.71,0.45,6
0.225,12,207,38,57.79,27.92,0.225,12
0.425,12,101,29,26.93,26.66,0.425,12
0.425,15,103,30,27.43,26.63,0.425,15
0.425,Inf,103,30,27.43,26.63,0.425,none
0.25,8,145,30,37.14,25.61,0.25,8
0.25,10,175,37,42.09,24.05,0.25,10
0.4,5,90,24,21.44,23.82,0.4,5
0.45,12,83,23,19.48,23.47,0.45,12
0.45,15,83,23,19.48,23.47,0.45,15
0.45,Inf,83,23,19.48,23.47,0.45,none
0.275,10,171,36,39.54,23.12,0.275,10
0.425,10,99,27,22.63,22.86,0.425,10
0.3,5,95,22,21.09,22.2,0.3,5
0.2,12,210,36,46.59,22.19,0.2,12
0.45,10,82,22,17.98,21.93,0.45,10
0.425,8,97,26,21.18,21.84,0.425,8
0.4,6,102,27,21.23,20.81,0.4,6
0.45,8,80,21,16.53,20.66,0.45,8
0.325,5,94,21,18.14,19.3,0.325,5
0.35,5,94,21,17.54,18.66,0.35,5
0.375,5,94,21,17.54,18.66,0.375,5
0.225,15,251,44,43.14,17.19,0.225,15
0.25,12,205,39,21.54,10.51,0.25,12
0.2,15,255,41,26.69,10.47,0.2,15
0.375,6,109,23,10.89,9.99,0.375,6
0.4,8,118,28,11.33,9.6,0.4,8
0.4,15,139,35,12.88,9.27,0.4,15
0.4,Inf,139,35,12.88,9.27,0.4,none
0.275,15,240,49,21.73,9.05,0.275,15
0.275,12,201,38,17.44,8.68,0.275,12
0.225,Inf,388,73,33.23,8.56,0.225,none
0.4,12,136,33,10.28,7.56,0.4,12
0.35,6,109,22,7.54,6.92,0.35,6
0.275,Inf,289,61,18.88,6.53,0.275,none
0.325,6,109,22,7.04,6.46,0.325,6
0.2,Inf,429,77,26.43,6.16,0.2,none
0.4,10,129,30,7.43,5.76,0.4,10
0.3,6,110,22,6.09,5.54,0.3,6
0.3,8,140,28,6.59,4.71,0.3,8
0.35,8,139,28,4.89,3.52,0.35,8
0.375,8,135,27,2.89,2.14,0.375,8
0.375,Inf,180,40,3.73,2.07,0.375,none
0.25,15,247,45,3.94,1.6,0.25,15
0.375,12,170,36,1.48,0.87,0.375,12
0.35,12,183,39,1.23,0.67,0.35,12
0.25,Inf,330,65,0.98,0.3,0.25,none
0.375,10,156,32,-0.22,-0.14,0.375,10
0.325,8,139,26,-1.06,-0.76,0.325,8
0.35,Inf,198,43,-1.52,-0.77,0.35,none
0.375,15,175,36,-3.52,-2.01,0.375,15
0.325,12,195,39,-4.67,-2.39,0.325,12
0.35,10,165,32,-6.57,-3.98,0.35,10
0.35,15,192,39,-7.77,-4.05,0.35,15
0.325,15,222,45,-9.47,-4.27,0.325,15
0.325,Inf,236,49,-11.22,-4.75,0.325,none
0.3,10,170,31,-11.51,-6.77,0.3,10
0.3,Inf,257,52,-19.32,-7.52,0.3,none
0.325,10,169,30,-14.61,-8.64,0.325,10
0.3,15,233,44,-23.07,-9.9,0.3,15
0.3,12,199,35,-22.41,-11.26,0.3,12
